dataset,scope_name,model_name,cv_spearman_raw,cv_spearman_rank_same_model,delta_cv_spearman_same_model,mean_fold_spearman_raw,mean_fold_spearman_rank_same_model,delta_mean_fold_spearman_same_model
individual_papers,Claude Sonnet 4.6,ridge,0.1386072644130617,0.14482762403621063,0.00622035962314893,0.1425898851358355,0.14568925039825717,0.0030993652624216605
individual_papers,GPT-4.1,ridge,0.1827442504652921,0.19533515876395613,0.012590908298664022,0.193209904911707,0.20203598694032338,0.008826082028616372
individual_papers,GPT-4.1 Mini,ridge,0.4314250454598501,0.43317370580160536,0.0017486603417552482,0.4322952113505336,0.4344570772274447,0.0021618658769110843
individual_papers,GPT-5 Mini,ridge,0.3197987049586547,0.32347729548064746,0.003678590521992764,0.322362338244969,0.32741480980120186,0.00505247155623284
individual_papers,GPT-5 Nano,ridge,0.1819764903468011,0.2163013606463289,0.0343248702995278,0.1928298558989341,0.2241126332624827,0.03128277736354862
individual_papers,GPT-5.1,ridge,0.2137070580860035,0.21873492862725355,0.005027870541250062,0.2184078019461566,0.22277889942117937,0.004371097475022762
metadata_filter_collections,Claude Sonnet 4.6,random_forest,0.2683844439194099,0.27326249394101215,0.004878050021602243,0.2700228175580288,0.27809596506779605,0.008073147509767231
metadata_filter_collections,GPT-4.1,extra_trees,0.4724884914008805,0.4811100703528321,0.008621578951951592,0.4699917204289493,0.47532512471518257,0.005333404286233245
metadata_filter_collections,GPT-4.1 Mini,gradient_boosting,0.4138048015890984,0.4137430134905649,-6.178809853346623e-05,0.4139117139942783,0.41182487821390196,-0.0020868357803763282
metadata_filter_collections,GPT-5 Mini,extra_trees,0.2292311299131008,0.16683371399660854,-0.062397415916492255,0.231475312856635,0.17443953716942154,-0.057035775687213464
metadata_filter_collections,GPT-5 Nano,gradient_boosting,0.2793511958525292,0.2946425059797477,0.015291310127218516,0.2778246835933082,0.28917659584489064,0.011351912251582441
metadata_filter_collections,GPT-5.1,gradient_boosting,0.3088859949101645,0.2954231201583999,-0.013462874751764609,0.3051744515804738,0.3000646884279715,-0.005109763152502278
