model,correlation,item_id,item_type,n_papers
Claude Sonnet 4.6,0.674209475517273,10.1007_s00182-015-0520-8,Individual paper,1
Claude Sonnet 4.6,0.6685872077941895,10.1007_s001820050100,Individual paper,1
Claude Sonnet 4.6,0.6635510921478271,10.1007_s001820050124,Individual paper,1
Claude Sonnet 4.6,0.664838433265686,10.1007_s00191-004-0212-1,Individual paper,1
Claude Sonnet 4.6,0.6561515927314758,10.1007_s00191-009-0162-8,Individual paper,1
Claude Sonnet 4.6,0.6590806841850281,10.1007_s00191-010-0204-2,Individual paper,1
Claude Sonnet 4.6,0.6628497838973999,10.1007_s00191-013-0306-8,Individual paper,1
Claude Sonnet 4.6,0.6423625349998474,10.1007_s00191-013-0328-2,Individual paper,1
Claude Sonnet 4.6,0.6300310492515564,10.1007_s00191-014-0375-3,Individual paper,1
Claude Sonnet 4.6,0.6441476345062256,10.1007_s00191-014-0387-z,Individual paper,1
Claude Sonnet 4.6,0.6778311729431152,10.1007_s00191-020-00720-5,Individual paper,1
Claude Sonnet 4.6,0.6471171379089355,10.1007_s00191-021-00739-2,Individual paper,1
Claude Sonnet 4.6,0.6928164958953857,10.1007_s00199-005-0633-6,Individual paper,1
Claude Sonnet 4.6,0.5157391428947449,10.1007_s00199-007-0212-0,Individual paper,1
Claude Sonnet 4.6,0.6716195344924927,10.1007_s00199-008-0421-1,Individual paper,1
Claude Sonnet 4.6,0.6696109175682068,10.1007_s00199-015-0909-4,Individual paper,1
Claude Sonnet 4.6,0.6508100628852844,10.1007_s00199-018-1146-4,Individual paper,1
Claude Sonnet 4.6,0.6812307834625244,10.1007_s00265-004-0782-9,Individual paper,1
Claude Sonnet 4.6,0.6150863766670227,10.1007_s00265-004-0885-3,Individual paper,1
Claude Sonnet 4.6,0.6583258509635925,10.1007_s00265-014-1741-8,Individual paper,1
Claude Sonnet 4.6,0.7005777955055237,10.1007_s00265-017-2330-4,Individual paper,1
Claude Sonnet 4.6,0.6353764533996582,10.1007_s00265-019-2667-y,Individual paper,1
Claude Sonnet 4.6,0.6531442999839783,10.1007_s00265-023-03380-0,Individual paper,1
Claude Sonnet 4.6,0.614142119884491,10.1007_s00267-023-01825-w,Individual paper,1
Claude Sonnet 4.6,0.6735861897468567,10.1007_s00285-010-0363-7,Individual paper,1
Claude Sonnet 4.6,0.6973497271537781,10.1007_s00355-010-0493-2,Individual paper,1
Claude Sonnet 4.6,0.6682360768318176,10.1007_s00355-014-0841-8,Individual paper,1
Claude Sonnet 4.6,0.5511438846588135,10.1007_s00355-015-0884-5,Individual paper,1
Claude Sonnet 4.6,0.6744393110275269,10.1007_s00355-018-1130-8,Individual paper,1
Claude Sonnet 4.6,0.6590655446052551,10.1007_s00355-020-01284-w,Individual paper,1
Claude Sonnet 4.6,0.6481130123138428,10.1007_s00355-021-01363-6,Individual paper,1
Claude Sonnet 4.6,0.6808162927627563,10.1007_s00355-025-01604-y,Individual paper,1
Claude Sonnet 4.6,0.6493707299232483,10.1007_s00406-013-0392-5,Individual paper,1
Claude Sonnet 4.6,0.6008175611495972,10.1007_s10058-012-0120-z,Individual paper,1
Claude Sonnet 4.6,0.6618378162384033,10.1007_s10144-013-0423-0,Individual paper,1
Claude Sonnet 4.6,0.6336491107940674,10.1007_s10458-010-9122-9,Individual paper,1
Claude Sonnet 4.6,0.6460837721824646,10.1007_s10458-016-9338-4,Individual paper,1
Claude Sonnet 4.6,0.6629518866539001,10.1007_s10458-025-09698-5,Individual paper,1
Claude Sonnet 4.6,0.667067289352417,10.1007_s10479-017-2412-8,Individual paper,1
Claude Sonnet 4.6,0.6323373317718506,10.1007_s10539-004-5155-2,Individual paper,1
Claude Sonnet 4.6,0.6731817722320557,10.1007_s10539-007-9065-y,Individual paper,1
Claude Sonnet 4.6,0.6336787939071655,10.1007_s10539-012-9327-1,Individual paper,1
Claude Sonnet 4.6,0.6777076125144958,10.1007_s10539-012-9341-3,Individual paper,1
Claude Sonnet 4.6,0.6868860721588135,10.1007_s10539-013-9401-3,Individual paper,1
Claude Sonnet 4.6,0.6643313765525818,10.1007_s10539-023-09936-8,Individual paper,1
Claude Sonnet 4.6,0.6709221601486206,10.1007_s10551-011-0795-z,Individual paper,1
Claude Sonnet 4.6,0.6691113114356995,10.1007_s10551-020-04664-5,Individual paper,1
Claude Sonnet 4.6,0.6428213119506836,10.1007_s10551-024-05865-y,Individual paper,1
Claude Sonnet 4.6,0.6501160264015198,10.1007_s10551-025-05998-8,Individual paper,1
Claude Sonnet 4.6,0.6729390025138855,10.1007_s10584-010-0014-4,Individual paper,1
Claude Sonnet 4.6,0.6654571890830994,10.1007_s10584-016-1838-3,Individual paper,1
Claude Sonnet 4.6,0.6255323886871338,10.1007_s10588-008-9053-z,Individual paper,1
Claude Sonnet 4.6,0.6828075647354126,10.1007_s10588-009-9056-4,Individual paper,1
Claude Sonnet 4.6,0.6930893659591675,10.1007_s10588-013-9170-1,Individual paper,1
Claude Sonnet 4.6,0.6349647045135498,10.1007_s10588-015-9205-x,Individual paper,1
Claude Sonnet 4.6,0.6797999143600464,10.1007_s10588-017-9244-6,Individual paper,1
Claude Sonnet 4.6,0.6319594383239746,10.1007_s10611-018-9768-9,Individual paper,1
Claude Sonnet 4.6,0.6686451435089111,10.1007_s10614-008-9154-2,Individual paper,1
Claude Sonnet 4.6,0.616525411605835,10.1007_s10614-020-10003-7,Individual paper,1
Claude Sonnet 4.6,0.6579280495643616,10.1007_s10614-020-10017-1,Individual paper,1
Claude Sonnet 4.6,0.6521852612495422,10.1007_s10640-006-9046-7,Individual paper,1
Claude Sonnet 4.6,0.6717000007629395,10.1007_s10640-015-9879-z,Individual paper,1
Claude Sonnet 4.6,0.5961618423461914,10.1007_s10640-017-0126-7,Individual paper,1
Claude Sonnet 4.6,0.626328706741333,10.1007_s10640-020-00419-y,Individual paper,1
Claude Sonnet 4.6,0.6480608582496643,10.1007_s10640-020-00526-w,Individual paper,1
Claude Sonnet 4.6,0.6484550833702087,10.1007_s10640-021-00591-9,Individual paper,1
Claude Sonnet 4.6,0.6558961272239685,10.1007_s10640-023-00759-5,Individual paper,1
Claude Sonnet 4.6,0.6493934988975525,10.1007_s10640-025-00970-6,Individual paper,1
Claude Sonnet 4.6,0.6483836770057678,10.1007_s10645-008-9094-1,Individual paper,1
Claude Sonnet 4.6,0.6754136681556702,10.1007_s10657-016-9532-5,Individual paper,1
Claude Sonnet 4.6,0.6420344114303589,10.1007_s10657-019-09615-8,Individual paper,1
Claude Sonnet 4.6,0.6121626496315002,10.1007_s10663-024-09623-1,Individual paper,1
Claude Sonnet 4.6,0.7055115103721619,10.1007_s10668-024-05335-5,Individual paper,1
Claude Sonnet 4.6,0.641339123249054,10.1007_s10683-005-0869-9,Individual paper,1
Claude Sonnet 4.6,0.6721502542495728,10.1007_s10683-006-9153-x,Individual paper,1
Claude Sonnet 4.6,0.5989766716957092,10.1007_s10683-007-9171-3,Individual paper,1
Claude Sonnet 4.6,0.6273985505104065,10.1007_s10683-010-9257-1,Individual paper,1
Claude Sonnet 4.6,0.6377159953117371,10.1007_s10683-010-9266-0,Individual paper,1
Claude Sonnet 4.6,0.6698017120361328,10.1007_s10683-010-9267-z,Individual paper,1
Claude Sonnet 4.6,0.675358772277832,10.1007_s10683-011-9272-x,Individual paper,1
Claude Sonnet 4.6,0.6993576884269714,10.1007_s10683-011-9281-9,Individual paper,1
Claude Sonnet 4.6,0.6573924422264099,10.1007_s10683-011-9292-6,Individual paper,1
Claude Sonnet 4.6,0.6699255108833313,10.1007_s10683-013-9354-z,Individual paper,1
Claude Sonnet 4.6,0.6127327680587769,10.1007_s10683-013-9360-1,Individual paper,1
Claude Sonnet 4.6,0.6886014342308044,10.1007_s10683-013-9367-7,Individual paper,1
Claude Sonnet 4.6,0.6806264519691467,10.1007_s10683-013-9389-1,Individual paper,1
Claude Sonnet 4.6,0.66079181432724,10.1007_s10683-014-9393-0,Individual paper,1
Claude Sonnet 4.6,0.6747168302536011,10.1007_s10683-014-9402-3,Individual paper,1
Claude Sonnet 4.6,0.652694821357727,10.1007_s10683-014-9405-0,Individual paper,1
Claude Sonnet 4.6,0.6284703016281128,10.1007_s10683-015-9452-1,Individual paper,1
Claude Sonnet 4.6,0.6415308713912964,10.1007_s10683-015-9466-8,Individual paper,1
Claude Sonnet 4.6,0.6224676966667175,10.1007_s10683-017-9527-2,Individual paper,1
Claude Sonnet 4.6,0.6930462718009949,10.1007_s10683-017-9539-y,Individual paper,1
Claude Sonnet 4.6,0.6320516467094421,10.1007_s10683-018-9592-1,Individual paper,1
Claude Sonnet 4.6,0.6754141449928284,10.1007_s10683-019-09609-y,Individual paper,1
Claude Sonnet 4.6,0.6613783836364746,10.1007_s10683-019-09629-8,Individual paper,1
Claude Sonnet 4.6,0.6699028015136719,10.1007_s10683-020-09652-0,Individual paper,1
Claude Sonnet 4.6,0.6723039746284485,10.1007_s10683-021-09737-4,Individual paper,1
Claude Sonnet 4.6,0.6656776070594788,10.1007_s10683-022-09758-7,Individual paper,1
Claude Sonnet 4.6,0.6466167569160461,10.1007_s10816-013-9186-3,Individual paper,1
Claude Sonnet 4.6,0.6691175699234009,10.1007_s10816-013-9194-3,Individual paper,1
Claude Sonnet 4.6,0.6495261192321777,10.1007_s10955-012-0661-0,Individual paper,1
Claude Sonnet 4.6,0.6566122770309448,10.1007_s10955-012-0679-3,Individual paper,1
Claude Sonnet 4.6,0.647757351398468,10.1007_s10955-018-2012-2,Individual paper,1
Claude Sonnet 4.6,0.6545829772949219,10.1007_s11031-014-9395-4,Individual paper,1
Claude Sonnet 4.6,0.6313095688819885,10.1007_s11047-016-9546-5,Individual paper,1
Claude Sonnet 4.6,0.6755766272544861,10.1007_s11071-019-05010-9,Individual paper,1
Claude Sonnet 4.6,0.6749020218849182,10.1007_s11071-020-05965-0,Individual paper,1
Claude Sonnet 4.6,0.6323732733726501,10.1007_s11071-023-08297-x,Individual paper,1
Claude Sonnet 4.6,0.6353276371955872,10.1007_s11127-006-9075-3,Individual paper,1
Claude Sonnet 4.6,0.6735304594039917,10.1007_s11127-007-9269-3,Individual paper,1
Claude Sonnet 4.6,0.6574581265449524,10.1007_s11127-010-9665-y,Individual paper,1
Claude Sonnet 4.6,0.6382046341896057,10.1007_s11127-016-0319-6,Individual paper,1
Claude Sonnet 4.6,0.6556784510612488,10.1007_s11127-018-0622-5,Individual paper,1
Claude Sonnet 4.6,0.6858789324760437,10.1007_s11127-020-00868-5,Individual paper,1
Claude Sonnet 4.6,0.635516345500946,10.1007_s11127-021-00925-7,Individual paper,1
Claude Sonnet 4.6,0.6782904267311096,10.1007_s11211-008-0064-1,Individual paper,1
Claude Sonnet 4.6,0.6259866952896118,10.1007_s11211-017-0300-7,Individual paper,1
Claude Sonnet 4.6,0.6470388770103455,10.1007_s11229-022-03743-6,Individual paper,1
Claude Sonnet 4.6,0.6686617732048035,10.1007_s11238-004-3672-8,Individual paper,1
Claude Sonnet 4.6,0.6962580680847168,10.1007_s11238-013-9356-5,Individual paper,1
Claude Sonnet 4.6,0.6688195466995239,10.1007_s11238-013-9382-3,Individual paper,1
Claude Sonnet 4.6,0.6568856835365295,10.1007_s11238-015-9527-7,Individual paper,1
Claude Sonnet 4.6,0.6481438875198364,10.1007_s11238-016-9572-x,Individual paper,1
Claude Sonnet 4.6,0.6684936285018921,10.1007_s11238-021-09864-7,Individual paper,1
Claude Sonnet 4.6,0.6483651995658875,10.1007_s11238-022-09897-6,Individual paper,1
Claude Sonnet 4.6,0.6432797908782959,10.1007_s11238-023-09929-9,Individual paper,1
Claude Sonnet 4.6,0.5769513249397278,10.1007_s11238-023-09931-1,Individual paper,1
Claude Sonnet 4.6,0.6700862646102905,10.1007_s11238-024-09977-9,Individual paper,1
Claude Sonnet 4.6,0.6542906761169434,10.1007_s11245-014-9294-z,Individual paper,1
Claude Sonnet 4.6,0.6497593522071838,10.1007_s11269-017-1661-2,Individual paper,1
Claude Sonnet 4.6,0.6866303086280823,10.1007_s11284-006-0070-4,Individual paper,1
Claude Sonnet 4.6,0.6257591247558594,10.1007_s11284-006-0163-0,Individual paper,1
Claude Sonnet 4.6,0.6414739489555359,10.1007_s11284-013-1066-5,Individual paper,1
Claude Sonnet 4.6,0.628677487373352,10.1007_s11403-007-0027-x,Individual paper,1
Claude Sonnet 4.6,0.6767933964729309,10.1007_s11403-015-0146-8,Individual paper,1
Claude Sonnet 4.6,0.6832709312438965,10.1007_s11403-017-0195-2,Individual paper,1
Claude Sonnet 4.6,0.6812633275985718,10.1007_s11403-022-00363-8,Individual paper,1
Claude Sonnet 4.6,0.6734198331832886,10.1007_s11427-010-0007-6,Individual paper,1
Claude Sonnet 4.6,0.6719238758087158,10.1007_s11427-010-4016-2,Individual paper,1
Claude Sonnet 4.6,0.6647179126739502,10.1007_s11432-010-4145-z,Individual paper,1
Claude Sonnet 4.6,0.6297979950904846,10.1007_s11432-023-4170-3,Individual paper,1
Claude Sonnet 4.6,0.6634188890457153,10.1007_s11538-024-01344-7,Individual paper,1
Claude Sonnet 4.6,0.6559370756149292,10.1007_s11538-025-01422-4,Individual paper,1
Claude Sonnet 4.6,0.6379537582397461,10.1007_s11558-025-09594-3,Individual paper,1
Claude Sonnet 4.6,0.6722211241722107,10.1007_s11846-016-0209-9,Individual paper,1
Claude Sonnet 4.6,0.6885561943054199,10.1007_s12064-024-00432-5,Individual paper,1
Claude Sonnet 4.6,0.5823804140090942,10.1007_s12110-002-1012-7,Individual paper,1
Claude Sonnet 4.6,0.6488783955574036,10.1007_s12110-002-1016-3,Individual paper,1
Claude Sonnet 4.6,0.7167435884475708,10.1007_s12110-005-1000-9,Individual paper,1
Claude Sonnet 4.6,0.6788169741630554,10.1007_s12110-009-9072-6,Individual paper,1
Claude Sonnet 4.6,0.6567486524581909,10.1007_s12110-012-9136-x,Individual paper,1
Claude Sonnet 4.6,0.6709811091423035,10.1007_s12110-017-9298-7,Individual paper,1
Claude Sonnet 4.6,0.6304173469543457,10.1007_s12110-024-09483-5,Individual paper,1
Claude Sonnet 4.6,0.6644757986068726,10.1007_s12144-019-0129-3,Individual paper,1
Claude Sonnet 4.6,0.6670278906822205,10.1007_s12144-023-04746-3,Individual paper,1
Claude Sonnet 4.6,0.6654167175292969,10.1007_s12144-023-05029-7,Individual paper,1
Claude Sonnet 4.6,0.6817196011543274,10.1007_s12144-024-06961-y,Individual paper,1
Claude Sonnet 4.6,0.6962658762931824,10.1007_s13235-010-0001-4,Individual paper,1
Claude Sonnet 4.6,0.6387559175491333,10.1007_s13235-011-0020-9,Individual paper,1
Claude Sonnet 4.6,0.6691545844078064,10.1007_s13235-013-0094-7,Individual paper,1
Claude Sonnet 4.6,0.6383424997329712,10.1007_s13235-017-0230-x,Individual paper,1
Claude Sonnet 4.6,0.6690697073936462,10.1007_s13235-019-00339-7,Individual paper,1
Claude Sonnet 4.6,0.6141413450241089,10.1007_s13235-022-00485-5,Individual paper,1
Claude Sonnet 4.6,0.657770574092865,10.1007_s13235-023-00533-8,Individual paper,1
Claude Sonnet 4.6,0.6400575041770935,10.1007_s13235-025-00619-5,Individual paper,1
Claude Sonnet 4.6,0.6648532748222351,10.1007_s13280-019-01284-w,Individual paper,1
Claude Sonnet 4.6,0.6539140939712524,10.1007_s40305-021-00350-z,Individual paper,1
Claude Sonnet 4.6,0.6814712882041931,10.1007_s40503-016-0035-0,Individual paper,1
Claude Sonnet 4.6,0.6659825444221497,10.1007_s40750-020-00143-3,Individual paper,1
Claude Sonnet 4.6,0.6584844589233398,10.1007_s40822-020-00144-3,Individual paper,1
Claude Sonnet 4.6,0.6229482889175415,10.1007_s40881-021-00101-z,Individual paper,1
Claude Sonnet 4.6,0.6872466802597046,10.1007_s40881-023-00137-3,Individual paper,1
Claude Sonnet 4.6,0.7235457897186279,10.1007_s40881-023-00153-3,Individual paper,1
Claude Sonnet 4.6,0.6656990051269531,10.1007_s40881-023-00157-z,Individual paper,1
Claude Sonnet 4.6,0.6318284869194031,10.1007_s40881-023-00159-x,Individual paper,1
Claude Sonnet 4.6,0.64729905128479,10.1007_s40888-022-00287-3,Individual paper,1
Claude Sonnet 4.6,0.6571809649467468,10.1007_s41412-019-00093-6,Individual paper,1
Claude Sonnet 4.6,0.6336728930473328,10.1007_s42001-019-00049-5,Individual paper,1
Claude Sonnet 4.6,0.69591224193573,10.1016_0162-3095(92)90032-y,Individual paper,1
Claude Sonnet 4.6,0.6743234395980835,10.1016_0165-1889(94)00848-1,Individual paper,1
Claude Sonnet 4.6,0.709364652633667,10.1016_0272-4944(95)90005-5,Individual paper,1
Claude Sonnet 4.6,0.6554577350616455,10.1016_0303-2647(96)01604-8,Individual paper,1
Claude Sonnet 4.6,0.6685884594917297,10.1016_b978-0-12-404681-8.00010-8,Individual paper,1
Claude Sonnet 4.6,0.6864247918128967,10.1016_j.actpsy.2020.103055,Individual paper,1
Claude Sonnet 4.6,0.6535431742668152,10.1016_j.actpsy.2023.103957,Individual paper,1
Claude Sonnet 4.6,0.650511622428894,10.1016_j.actpsy.2024.104608,Individual paper,1
Claude Sonnet 4.6,0.6726246476173401,10.1016_j.actpsy.2025.105088,Individual paper,1
Claude Sonnet 4.6,0.6505150198936462,10.1016_j.agsy.2015.11.012,Individual paper,1
Claude Sonnet 4.6,0.6667224168777466,10.1016_j.amc.2015.01.040,Individual paper,1
Claude Sonnet 4.6,0.6634592413902283,10.1016_j.amc.2017.04.017,Individual paper,1
Claude Sonnet 4.6,0.6552947759628296,10.1016_j.amc.2017.08.049,Individual paper,1
Claude Sonnet 4.6,0.6383275985717773,10.1016_j.amc.2018.01.045,Individual paper,1
Claude Sonnet 4.6,0.6471839547157288,10.1016_j.amc.2018.02.017,Individual paper,1
Claude Sonnet 4.6,0.6628462076187134,10.1016_j.amc.2018.10.068,Individual paper,1
Claude Sonnet 4.6,0.6496177315711975,10.1016_j.amc.2018.11.029,Individual paper,1
Claude Sonnet 4.6,0.6456530690193176,10.1016_j.amc.2019.06.038,Individual paper,1
Claude Sonnet 4.6,0.6846921443939209,10.1016_j.amc.2019.124798,Individual paper,1
Claude Sonnet 4.6,0.6678957343101501,10.1016_j.amc.2019.124889,Individual paper,1
Claude Sonnet 4.6,0.6753146648406982,10.1016_j.amc.2019.124945,Individual paper,1
Claude Sonnet 4.6,0.6548761129379272,10.1016_j.amc.2020.125063,Individual paper,1
Claude Sonnet 4.6,0.6399149298667908,10.1016_j.amc.2020.125250,Individual paper,1
Claude Sonnet 4.6,0.6496525406837463,10.1016_j.amc.2020.125600,Individual paper,1
Claude Sonnet 4.6,0.6828697919845581,10.1016_j.amc.2020.125698,Individual paper,1
Claude Sonnet 4.6,0.6499109864234924,10.1016_j.amc.2020.125705,Individual paper,1
Claude Sonnet 4.6,0.6777815818786621,10.1016_j.amc.2020.125835,Individual paper,1
Claude Sonnet 4.6,0.6786697506904602,10.1016_j.amc.2021.126047,Individual paper,1
Claude Sonnet 4.6,0.6689189672470093,10.1016_j.amc.2021.126074,Individual paper,1
Claude Sonnet 4.6,0.6317314505577087,10.1016_j.amc.2021.126433,Individual paper,1
Claude Sonnet 4.6,0.6124273538589478,10.1016_j.amc.2021.126586,Individual paper,1
Claude Sonnet 4.6,0.6666244268417358,10.1016_j.amc.2021.126590,Individual paper,1
Claude Sonnet 4.6,0.6340234875679016,10.1016_j.amc.2021.126624,Individual paper,1
Claude Sonnet 4.6,0.6555811166763306,10.1016_j.amc.2021.126797,Individual paper,1
Claude Sonnet 4.6,0.6650235056877136,10.1016_j.amc.2022.127069,Individual paper,1
Claude Sonnet 4.6,0.6510682106018066,10.1016_j.amc.2022.127308,Individual paper,1
Claude Sonnet 4.6,0.6752408742904663,10.1016_j.amc.2022.127567,Individual paper,1
Claude Sonnet 4.6,0.6092481017112732,10.1016_j.amc.2022.127578,Individual paper,1
Claude Sonnet 4.6,0.6740259528160095,10.1016_j.amc.2022.127612,Individual paper,1
Claude Sonnet 4.6,0.6720389723777771,10.1016_j.amc.2022.127703,Individual paper,1
Claude Sonnet 4.6,0.6899052262306213,10.1016_j.amc.2022.127723,Individual paper,1
Claude Sonnet 4.6,0.6440207958221436,10.1016_j.amc.2022.127818,Individual paper,1
Claude Sonnet 4.6,0.6095702648162842,10.1016_j.amc.2023.127853,Individual paper,1
Claude Sonnet 4.6,0.6229836940765381,10.1016_j.amc.2023.128168,Individual paper,1
Claude Sonnet 4.6,0.6852675676345825,10.1016_j.amc.2023.128172,Individual paper,1
Claude Sonnet 4.6,0.6944670677185059,10.1016_j.amc.2023.128247,Individual paper,1
Claude Sonnet 4.6,0.6395629644393921,10.1016_j.amc.2023.128350,Individual paper,1
Claude Sonnet 4.6,0.6864911317825317,10.1016_j.amc.2023.128445,Individual paper,1
Claude Sonnet 4.6,0.6420718431472778,10.1016_j.amc.2023.128484,Individual paper,1
Claude Sonnet 4.6,0.6290653944015503,10.1016_j.amc.2024.128534,Individual paper,1
Claude Sonnet 4.6,0.6482088565826416,10.1016_j.amc.2024.128553,Individual paper,1
Claude Sonnet 4.6,0.6445978879928589,10.1016_j.amc.2024.128646,Individual paper,1
Claude Sonnet 4.6,0.6596218943595886,10.1016_j.amc.2024.128745,Individual paper,1
Claude Sonnet 4.6,0.604619562625885,10.1016_j.amc.2024.128836,Individual paper,1
Claude Sonnet 4.6,0.6744714975357056,10.1016_j.amc.2024.128844,Individual paper,1
Claude Sonnet 4.6,0.6677956581115723,10.1016_j.amc.2024.128864,Individual paper,1
Claude Sonnet 4.6,0.6767308712005615,10.1016_j.amc.2024.129156,Individual paper,1
Claude Sonnet 4.6,0.670544445514679,10.1016_j.amc.2024.129249,Individual paper,1
Claude Sonnet 4.6,0.7095902562141418,10.1016_j.amc.2025.129309,Individual paper,1
Claude Sonnet 4.6,0.6533654928207397,10.1016_j.amc.2025.129367,Individual paper,1
Claude Sonnet 4.6,0.6626206040382385,10.1016_j.amc.2025.129381,Individual paper,1
Claude Sonnet 4.6,0.6181164383888245,10.1016_j.amc.2025.129397,Individual paper,1
Claude Sonnet 4.6,0.611033022403717,10.1016_j.amc.2025.129545,Individual paper,1
Claude Sonnet 4.6,0.6951494812965393,10.1016_j.amc.2025.129562,Individual paper,1
Claude Sonnet 4.6,0.6491516828536987,10.1016_j.anbehav.2016.01.010,Individual paper,1
Claude Sonnet 4.6,0.6628764271736145,10.1016_j.anbehav.2023.08.014,Individual paper,1
Claude Sonnet 4.6,0.6597885489463806,10.1016_j.asej.2022.102006,Individual paper,1
Claude Sonnet 4.6,0.6548958420753479,10.1016_j.bandc.2012.09.009,Individual paper,1
Claude Sonnet 4.6,0.6655868291854858,10.1016_j.beproc.2012.06.001,Individual paper,1
Claude Sonnet 4.6,0.6959965229034424,10.1016_j.biosystems.2018.10.015,Individual paper,1
Claude Sonnet 4.6,0.7076059579849243,10.1016_j.biosystems.2024.105362,Individual paper,1
Claude Sonnet 4.6,0.6450889706611633,10.1016_j.chaos.2012.01.004,Individual paper,1
Claude Sonnet 4.6,0.6602013111114502,10.1016_j.chaos.2013.07.016,Individual paper,1
