dataset,scope,scope_name,target_raw,target_label_raw,model_name_raw,n_rows_raw,n_groups_raw,cv_r2_raw,cv_spearman_raw,mean_fold_r2_raw,mean_fold_spearman_raw,sd_fold_r2_raw,sd_fold_spearman_raw,target_rank,target_label_rank,model_name_rank,n_rows_rank,n_groups_rank,cv_r2_rank,cv_spearman_rank,mean_fold_r2_rank,mean_fold_spearman_rank,sd_fold_r2_rank,sd_fold_spearman_rank,delta_cv_spearman,delta_mean_fold_spearman
individual_papers,within_model,Claude Sonnet 4.6,correlation,Correlation,ridge,2011,2011,0.0162745865520345,0.1386072644130617,0.0157515070419968,0.1425898851358355,0.0123872411256432,0.0449457482220316,correlation_rank_centered,Correlation rank,ridge,2011,2011,0.02379399716842423,0.14482762403621063,0.023247009934745398,0.14568925039825717,0.016212462782988518,0.04981807175722515,0.00622035962314893,0.0030993652624216605
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2010,2010,0.0227284151223261,0.1827442504652921,0.0204590309122463,0.193209904911707,0.0210908416022491,0.0621700716510084,correlation_rank_centered,Correlation rank,ridge,2010,2010,0.03780624676733657,0.19533515876395613,0.03642710405239915,0.20203598694032338,0.020009769896935873,0.05867325291509056,0.012590908298664022,0.008826082028616372
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,2011,2011,0.1555596556530787,0.4314250454598501,0.1567039078066412,0.4322952113505336,0.042680798804417,0.033075411353689,correlation_rank_centered,Correlation rank,random_forest,2011,2011,0.19879226084080948,0.43858392261909,0.19759430880554496,0.43946445938869444,0.03036977480253416,0.02700308131559145,0.007158877159239907,0.007169248038160825
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,2008,2008,0.0617085716156167,0.3197987049586547,0.0605164497850801,0.322362338244969,0.0110496399464408,0.0268651622846653,correlation_rank_centered,Correlation rank,ridge,2008,2008,0.10433407439452069,0.32347729548064746,0.10375716123694786,0.32741480980120186,0.017361864648585697,0.030637268798881095,0.003678590521992764,0.00505247155623284
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,2005,2005,0.0242703052058603,0.1819764903468011,0.0188386067924925,0.1928298558989341,0.015650206792223,0.04949905495353,correlation_rank_centered,Correlation rank,ridge,2005,2005,0.05572846668979392,0.2163013606463289,0.05323642292404847,0.2241126332624827,0.02931257286052194,0.062125040080457584,0.0343248702995278,0.03128277736354862
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2009,2009,0.0417396687832576,0.2137070580860035,0.0397969440768557,0.2184078019461566,0.0113207099284599,0.0360805744722372,correlation_rank_centered,Correlation rank,ridge,2009,2009,0.048990054386407134,0.21873492862725355,0.04557886660580122,0.22277889942117937,0.015929414062299443,0.04813667250354596,0.005027870541250062,0.004371097475022762
metadata_filter_collections,within_model,Claude Sonnet 4.6,correlation,Correlation,random_forest,715,715,0.0856715439866427,0.2683844439194099,0.083080211986462,0.2700228175580288,0.0524675684111696,0.0973578065181022,correlation_rank_centered,Correlation rank,random_forest,715,715,0.07594412040137433,0.27326249394101215,0.07580276142716318,0.27809596506779605,0.05781606666723347,0.0883484508959996,0.004878050021602243,0.008073147509767231
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,extra_trees,715,715,0.2160073982471381,0.4724884914008805,0.2098685160227296,0.4699917204289493,0.0545700622028386,0.0353432778229667,correlation_rank_centered,Correlation rank,extra_trees,715,715,0.22449933771013952,0.4811100703528321,0.21804011431090825,0.47532512471518257,0.060555053858431386,0.051348766675372526,0.008621578951951592,0.005333404286233245
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,gradient_boosting,716,716,0.2044621849494139,0.4138048015890984,0.199725208927822,0.4139117139942783,0.0923131609475864,0.0905499534375909,correlation_rank_centered,Correlation rank,ridge,716,716,0.18416829948097824,0.42760581089278416,0.18027236502335026,0.4343368813475661,0.03719283833550972,0.04816297196070095,0.013801009303685774,0.02042516735328781
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,extra_trees,715,715,0.1638356849370358,0.2292311299131008,0.1621974744302645,0.231475312856635,0.0892315177125798,0.0807815983599467,correlation_rank_centered,Correlation rank,random_forest,715,715,0.033449472812966397,0.1998329324293266,0.031945849834606355,0.2113472208542631,0.04835149007776105,0.07791157811633319,-0.029398197483774202,-0.020128092002371895
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,gradient_boosting,712,712,0.1288599369974478,0.2793511958525292,0.0959704240607022,0.2778246835933082,0.1731142339851054,0.0667051646724896,correlation_rank_centered,Correlation rank,gradient_boosting,712,712,0.08111065466397593,0.2946425059797477,0.07678240436781429,0.28917659584489064,0.06346975686982613,0.05527857578387246,0.015291310127218516,0.011351912251582441
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,gradient_boosting,716,716,0.1280176558205863,0.3088859949101645,0.1196732323882817,0.3051744515804738,0.0535168531534232,0.0382397731241422,correlation_rank_centered,Correlation rank,random_forest,716,716,0.09797134533118834,0.30032853941598475,0.09042049101713645,0.30508014730938476,0.0432930864554393,0.06118904232280843,-0.008557455494179744,-9.430427108902961e-05
