kind,model_a,model_b,n_items,epsilon,observed_spearman,order_agreement_excluding_near_ties,informative_pair_coverage
papers,GPT-5.1,GPT-4.1 Mini,1999,0.06,0.30229631418648373,0.796151380215881,0.1710449819504347
papers,GPT-5.1,GPT-4.1,1999,0.06,0.2620802015939808,0.7965689323877853,0.14489527045805184
papers,GPT-5.1,GPT-5 Nano,1999,0.06,0.25884282756578314,0.7561857535508454,0.16742956062615894
papers,GPT-5.1,GPT-5 Mini,1999,0.06,0.30634375821856763,0.7912171744840333,0.19560631166434067
papers,GPT-5.1,Claude Sonnet 4.6,1999,0.06,0.22305888771942947,0.8461080912901041,0.054721054220804095
papers,GPT-5.1,Gemini 2.5 Pro,1999,0.06,0.271772472426568,0.7268953493934492,0.282634310148067
papers,GPT-4.1 Mini,GPT-4.1,1999,0.06,0.46463479531074403,0.9378225557725918,0.12177009425633738
papers,GPT-4.1 Mini,GPT-5 Nano,1999,0.06,0.36367240844183185,0.8801211656499938,0.1319183115081064
papers,GPT-4.1 Mini,GPT-5 Mini,1999,0.06,0.4538296630312224,0.9114940386872362,0.15317418468994257
papers,GPT-4.1 Mini,Claude Sonnet 4.6,1999,0.06,0.21949592914268237,0.81982414068745,0.0438507542059318
papers,GPT-4.1 Mini,Gemini 2.5 Pro,1999,0.06,0.32089540326336397,0.7798237447231823,0.19631687715729737
papers,GPT-4.1,GPT-5 Nano,1999,0.06,0.36058728246184923,0.8832021169288812,0.11467745884954489
papers,GPT-4.1,GPT-5 Mini,1999,0.06,0.3759577754874839,0.9066256035257663,0.132027475199061
papers,GPT-4.1,Claude Sonnet 4.6,1999,0.06,0.19614022576165482,0.8751594431025592,0.036902335051409586
papers,GPT-4.1,Gemini 2.5 Pro,1999,0.06,0.22256289552147518,0.7449760321632906,0.1619177957347042
papers,GPT-5 Nano,GPT-5 Mini,1999,0.06,0.39865942524346076,0.887471534987842,0.15568745333627776
papers,GPT-5 Nano,Claude Sonnet 4.6,1999,0.06,0.15025308257397443,0.7997168779357827,0.03891084681479879
papers,GPT-5 Nano,Gemini 2.5 Pro,1999,0.06,0.18335380626565304,0.6977971663317478,0.1968601918576906
papers,GPT-5 Mini,Claude Sonnet 4.6,1999,0.06,0.22173769304669047,0.8682414755385018,0.04593688235509146
papers,GPT-5 Mini,Gemini 2.5 Pro,1999,0.06,0.3459323176834532,0.800861920729086,0.23296933752161367
papers,Claude Sonnet 4.6,Gemini 2.5 Pro,1999,0.06,0.22818438608795738,0.8114293468716574,0.06273106523231586
collections,GPT-5.1,GPT-4.1 Mini,710,0.06,0.4380497861628957,0.8714262560777958,0.24513796460001192
collections,GPT-5.1,GPT-4.1,710,0.06,0.4410853270613035,0.8699210885953182,0.27037088539700826
collections,GPT-5.1,GPT-5 Nano,710,0.06,0.33860201415005503,0.8180334712155136,0.20938834700729056
collections,GPT-5.1,GPT-5 Mini,710,0.06,0.4691649351573546,0.9111862486501797,0.22443433520729456
collections,GPT-5.1,Claude Sonnet 4.6,710,0.06,0.40357582681047666,0.9179457396498797,0.14366197183098592
collections,GPT-5.1,Gemini 2.5 Pro,710,0.06,0.3846861763626594,0.7888227421662283,0.3443691769800751
collections,GPT-4.1 Mini,GPT-4.1,710,0.06,0.6363679454678541,0.9590866944830784,0.2399570909235384
collections,GPT-4.1 Mini,GPT-5 Nano,710,0.06,0.42560870318685357,0.8785012142939748,0.1717753630385983
collections,GPT-4.1 Mini,GPT-5 Mini,710,0.06,0.40849720749856056,0.8942073305854717,0.17928842448201196
collections,GPT-4.1 Mini,Claude Sonnet 4.6,710,0.06,0.47782576308012076,0.9566781357522678,0.1270188124515783
collections,GPT-4.1 Mini,Gemini 2.5 Pro,710,0.06,0.19192680480232024,0.6941852913690146,0.2508313633564433
collections,GPT-4.1,GPT-5 Nano,710,0.06,0.4047005893141845,0.9009222141902696,0.1813742823655615
collections,GPT-4.1,GPT-5 Mini,710,0.06,0.4476782808983637,0.9285081181257806,0.1972307753431733
collections,GPT-4.1,Claude Sonnet 4.6,710,0.06,0.5109098793037196,0.9576026699852924,0.14047160253481397
collections,GPT-4.1,Gemini 2.5 Pro,710,0.06,0.29134862899282843,0.762282836043881,0.27923081507379965
collections,GPT-5 Nano,GPT-5 Mini,710,0.06,0.2891280950232571,0.8660387929884474,0.1489143606348954
collections,GPT-5 Nano,Claude Sonnet 4.6,710,0.06,0.36885886862727446,0.9005345982983209,0.10553248971970043
collections,GPT-5 Nano,Gemini 2.5 Pro,710,0.06,0.1645059546153389,0.6929289569010127,0.21497447307256798
collections,GPT-5 Mini,Claude Sonnet 4.6,710,0.06,0.40459241117034445,0.9438085687610221,0.114896998351179
collections,GPT-5 Mini,Gemini 2.5 Pro,710,0.06,0.3716811764861229,0.8433478968559924,0.2318878007111782
collections,Claude Sonnet 4.6,Gemini 2.5 Pro,710,0.06,0.3899654112800547,0.8864382676147382,0.15365819742148235
