label,value,kind,share_laypeople_below,share_experts_below,pct_laypeople_below,pct_experts_below
Gemini 2.5 Pro,0.39938199972137356,llm_model_mean30,0.344017094017094,0.15789473684210525,34.401709401709404,15.789473684210526
GPT-4.1 Nano,0.5212166586200166,llm_model_mean30,0.6089743589743589,0.39473684210526316,60.89743589743589,39.473684210526315
GPT-5 Mini,0.5616469732000592,llm_model_mean30,0.7478632478632479,0.5789473684210527,74.78632478632478,57.89473684210527
GPT-5 Nano,0.5984576014590571,llm_model_mean30,0.8418803418803419,0.7631578947368421,84.1880341880342,76.31578947368422
Claude Opus 4.6,0.6065370632458076,llm_model_mean30,0.8696581196581197,0.7894736842105263,86.96581196581197,78.94736842105263
Claude Haiku 4.5,0.6119199853818159,llm_model_mean30,0.8824786324786325,0.7894736842105263,88.24786324786325,78.94736842105263
GPT-4.1,0.6145930323334075,llm_model_mean30,0.8867521367521367,0.7894736842105263,88.67521367521367,78.94736842105263
GPT-4.1 Mini,0.6154436723939996,llm_model_mean30,0.8910256410256411,0.7894736842105263,89.1025641025641,78.94736842105263
Gemini 2.5 Flash,0.6428149155377687,llm_model_mean30,0.9358974358974359,0.9210526315789473,93.58974358974359,92.10526315789474
GPT-5.1,0.6526169304695438,llm_model_mean30,0.9401709401709402,0.9473684210526315,94.01709401709401,94.73684210526315
Claude Sonnet 4.6,0.6644858192216249,llm_model_mean30,0.9529914529914529,0.9736842105263158,95.2991452991453,97.36842105263158
Estimated ceiling,0.7765353937484988,noise_ceiling,1.0,1.0,100.0,100.0
No treatment effect,0.5414748692062454,null_baseline,0.6688034188034188,0.4473684210526316,66.88034188034187,44.73684210526316
