model,source_id,n_aug_runs,n_baseline_runs,correlation,correlation_mean_repeat,correlation_repeat_sd,correlation_repeat_se,baseline_correlation,baseline_correlation_mean_repeat,baseline_repeat_sd,baseline_repeat_se,delta_correlation,delta_correlation_mean_repeat,delta_correlation_repeat_sd,delta_correlation_repeat_se
Claude Sonnet 4.6,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,5,5,0.6403182744979858,0.6265753149986267,0.04037566952436439,0.018056548338709073,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0009949207305908203,-0.0005730895029593564,0.09128528137963332,0.04082401890201118
Claude Sonnet 4.6,10.1002_ajpa.1330770407,5,5,0.6793891787528992,0.6736964583396912,0.0308010587369187,0.013774652222942803,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.04006582498550415,0.0465480538381051,0.0651637347711576,0.029142108123215018
Claude Sonnet 4.6,10.1002_bdm.1810,5,5,0.6348628401756287,0.6210128903388977,0.0291172884060747,0.013021647239289905,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.004460513591766357,-0.00613551416268836,0.06360137680859722,0.0284434004013204
Claude Sonnet 4.6,10.1002_bdm.1976,5,5,0.6283497214317322,0.6160938620567322,0.06137380581461,0.027447200367867963,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.010973632335662842,-0.011054542444853887,0.08617765276649698,0.03853981794545201
Claude Sonnet 4.6,10.1002_bdm.2012,5,5,0.6240533590316772,0.6108762383460998,0.04565892398253761,0.020419291560889903,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.015269994735717773,-0.016272166155486212,0.08759180359872433,0.03917224542371166
Claude Sonnet 4.6,10.1002_bdm.2050,5,5,0.6442453861236572,0.6357201337814331,0.05773417411946879,0.025819507591188253,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.004922032356262207,0.00857172927984704,0.10983222482922192,0.049118464167636086
Claude Sonnet 4.6,10.1002_bdm.2110,5,5,0.650922417640686,0.6407299041748047,0.009186541866760715,0.004108346418444955,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.011599063873291016,0.013581499673218622,0.07416426909899757,0.033167269441389126
Claude Sonnet 4.6,10.1002_bdm.2208,5,5,0.5964497327804565,0.5897379875183105,0.0402411464785504,0.017996387803712995,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.04287362098693848,-0.03741041698327552,0.08557777541546312,0.03827154463843717
Claude Sonnet 4.6,10.1002_bdm.2243,5,5,0.6503613591194153,0.6418416142463684,0.034593015460294425,0.015470466823183902,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.011038005352020264,0.014693209744782342,0.07912096680963575,0.03538397204637004
Claude Sonnet 4.6,10.1002_bdm.2273,5,5,0.6450371146202087,0.6375490665435791,0.04472276517490854,0.02000062861457115,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.005713760852813721,0.010400662041993036,0.06625057660926376,0.029628158569374254
Claude Sonnet 4.6,10.1002_cplx.20244,5,5,0.678071916103363,0.6691051721572876,0.029070013839540117,0.013000505410414273,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03874856233596802,0.041956767655701534,0.06830535743487076,0.030547084490358336
Claude Sonnet 4.6,10.1002_cplx.20289,5,5,0.6389718055725098,0.6255443453788757,0.03315096369856015,0.01482556166992167,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.0003515481948852539,-0.001604059122710333,0.08381293733707146,0.037482285055924394
Claude Sonnet 4.6,10.1002_ejsp.227,5,5,0.6709115505218506,0.651013970375061,0.051699385435681186,0.023120668045829143,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.031588196754455566,0.02386556587347497,0.06244792033764397,0.027927558985692706
Claude Sonnet 4.6,10.1002_ejsp.3171,5,5,0.6734212636947632,0.6619457602500916,0.03143859301120757,0.014059766218001986,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.034097909927368164,0.03479735574850549,0.0642150507433098,0.028717843728127822
Claude Sonnet 4.6,10.1002_ejsp.506,5,5,0.6702159643173218,0.660793137550354,0.018531510944371336,0.008287543639479126,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.030892610549926758,0.03364473304876794,0.057975543090012516,0.025927451076347238
Claude Sonnet 4.6,10.1002_evan.21430,5,5,0.748529314994812,0.7381467580795288,0.04026024991441992,0.018004931119954604,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.10920596122741699,0.11099835357794274,0.10519300398406822,0.04704374153315655
Claude Sonnet 4.6,10.1002_evan.21944,5,5,0.6329349875450134,0.6205938935279847,0.056062384379526535,0.02507186049066874,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.006388366222381592,-0.006554510973601446,0.0445621025434495,0.01992877810149387
Claude Sonnet 4.6,10.1002_hbm.21298,5,5,0.6081658601760864,0.6005226135253906,0.04186015108527484,0.018720428675017227,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.031157493591308594,-0.02662579097619544,0.06013015988570138,0.026891025000471854
Claude Sonnet 4.6,10.1002_hbm.25874,5,5,0.6466371417045593,0.6421826601028442,0.016787208090489936,0.007507467688553988,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.007313787937164307,0.015034255601258173,0.0697443404727786,0.031190617268604552
Claude Sonnet 4.6,10.1002_ijop.12257,5,5,0.6608722805976868,0.6499655842781067,0.027993667418699564,0.012519148657546659,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.021548926830291748,0.022817179776520626,0.07647123081968746,0.034198974087179625
Claude Sonnet 4.6,10.1002_ird.2704,5,5,0.6951981782913208,0.6814270257949829,0.05595342095937849,0.02502313056776636,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.05587482452392578,0.05427862129339685,0.10040441911299969,0.044902221275609285
Claude Sonnet 4.6,10.1002_mde.2877,5,5,0.6756951212882996,0.6631228685379028,0.0374105773763999,0.016730518818229182,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03637176752090454,0.03597446403631677,0.06947525826009719,0.031070280044786215
Claude Sonnet 4.6,10.1002_mde.4492,5,5,0.6724491119384766,0.6623007535934449,0.024825907575860524,0.011102483388550228,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03312575817108154,0.035152349091858756,0.09076764220512352,0.04059252362560702
Claude Sonnet 4.6,10.1002_pchj.259,5,5,0.6079685091972351,0.5984214544296265,0.04121385749776225,0.018431397395997154,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.03135484457015991,-0.0287269500719596,0.06736149046077768,0.0301249743472005
Claude Sonnet 4.6,10.1002_per.474,5,5,0.6588921546936035,0.6510145425796509,0.034009697108401946,0.015209598925712955,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.019568800926208496,0.023866138078064814,0.07504382717617247,0.033560619771533545
Claude Sonnet 4.6,10.1002_per.830,5,5,0.6218527555465698,0.6104248762130737,0.02391756922585537,0.010696262129113924,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.017470598220825195,-0.016723528288512333,0.06428949911668808,0.028751138052865444
Claude Sonnet 4.6,10.1002_soej.12391,5,5,0.7072813510894775,0.6938782215118409,0.046457780961614716,0.020776551262793208,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.06795799732208252,0.06672981701025475,0.05002906880427801,0.02237367973947595
Claude Sonnet 4.6,10.1002_soej.12487,5,5,0.6941182017326355,0.6807669401168823,0.0218160451027072,0.009756431969970935,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.05479484796524048,0.05361853561529626,0.06414811177764776,0.028687907712615052
Claude Sonnet 4.6,10.1002_soej.12626,5,5,0.6859117150306702,0.6674922823905944,0.039302612551088016,0.017576662671513844,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.046588361263275146,0.040343877889008416,0.07607794167449916,0.03402308983448886
Claude Sonnet 4.6,10.1006_game.1994.1035,5,5,0.6925451755523682,0.6795423984527588,0.020257674468509665,0.009059507435529907,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.053221821784973145,0.052393993951172724,0.06631980352630659,0.02965911778785036
Claude Sonnet 4.6,10.1006_game.1998.0638,5,5,0.6486654281616211,0.6438275694847106,0.021894547756501685,0.009791539424030656,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.009342074394226074,0.016679164983124627,0.0654368078315261,0.02926423010837659
Claude Sonnet 4.6,10.1006_jeth.2000.2655,5,5,0.6517272591590881,0.6429685711860657,0.04738157015813125,0.021189682350851384,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.012403905391693115,0.01582016668447961,0.07052622424833914,0.03154028632313606
Claude Sonnet 4.6,10.1006_jtbi.1996.0286,5,5,0.663021981716156,0.6569238185882569,0.030785348433841873,0.013767626361817423,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.023698627948760986,0.02977541408667077,0.07637284596668166,0.03415497504332417
Claude Sonnet 4.6,10.1006_jtbi.1998.0685,5,5,0.6692163944244385,0.6618046998977661,0.02910804598485483,0.013017513902865041,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.029893040657043457,0.03465629539618005,0.07605794299031829,0.034014146151031065
Claude Sonnet 4.6,10.1006_jtbi.2000.1089,5,5,0.6690303087234497,0.6603887796401977,0.010757998325386778,0.004811123111478747,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.029706954956054688,0.03324037513861169,0.06506966344676672,0.02910003814800073
Claude Sonnet 4.6,10.1006_jtbi.2000.2111,5,5,0.6077782511711121,0.6010906457901001,0.027682556530678068,0.01238001563871538,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.03154510259628296,-0.026057758711485968,0.06940666591476502,0.03103960461540644
Claude Sonnet 4.6,10.1006_jtbi.2000.2202,5,5,0.6885935068130493,0.6786354184150696,0.022411374924527803,0.010022671560095677,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0492701530456543,0.051487013913483516,0.07192039030386012,0.0321637763375496
Claude Sonnet 4.6,10.1006_jtbi.2001.2406,5,5,0.6581830978393555,0.6467611193656921,0.012499660512133835,0.005590018120160217,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.01885974407196045,0.019612714864106075,0.0630001876172526,0.02817454042148346
Claude Sonnet 4.6,10.1006_jtbi.2003.3104,5,5,0.6368491053581238,0.6231589555740357,0.027979991680393473,0.012513032681447675,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.0024742484092712402,-0.003989448927550421,0.053304519950630784,0.023838506023520833
Claude Sonnet 4.6,10.1006_obhd.1995.1015,5,5,0.6080881953239441,0.5958566188812255,0.03354830084381884,0.015003256243278494,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.031235158443450928,-0.03129178562036048,0.04009714320212155,0.017931987580697473
Claude Sonnet 4.6,10.1007_7854_2016_445,5,5,0.6322779655456543,0.627151894569397,0.018109127705043315,0.008098648112340323,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.007045388221740723,3.490067810907327e-06,0.06212520075347081,0.027783234400116378
Claude Sonnet 4.6,10.1007_978-0-387-72596-3_7,5,5,0.6039502620697021,0.5928681373596192,0.032957158780487605,0.01473888947568487,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.03537309169769287,-0.03428026714196693,0.0807196959516622,0.03609894545420625
Claude Sonnet 4.6,10.1007_978-0-387-72596-3_8,5,5,0.6869317293167114,0.6716248750686645,0.03502523689539675,0.015663762125228166,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.047608375549316406,0.044476470567078485,0.0835011658285183,0.03734285659860989
Claude Sonnet 4.6,10.1007_978-3-319-29354-7_9,5,5,0.6298379302024841,0.6252334713935852,0.018253172956085077,0.008163067106973404,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.009485423564910889,-0.0019149331080008602,0.06462800312800551,0.02890252164885787
Claude Sonnet 4.6,10.1007_978-3-540-85436-4,5,5,0.6825997829437256,0.6761471390724182,0.03632969813988964,0.01624713492856818,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.043276429176330566,0.04899873457083215,0.0702123448217731,0.031399915176228005
Claude Sonnet 4.6,10.1007_978-3-540-85436-4_5,5,5,0.6712401509284973,0.6655738234519959,0.012031242478273542,0.0053805352070405345,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.031916797161102295,0.03842541895040978,0.06056649725781708,0.027086161005506718
Claude Sonnet 4.6,10.1007_978-3-642-02624-9_8,5,5,0.6487749218940735,0.6374704360961914,0.0381153913228779,0.017045721197392123,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.009451568126678467,0.010322031594605341,0.038744413816496334,0.01732702860841357
Claude Sonnet 4.6,10.1007_978-3-642-13983-3_11,5,5,0.7114250063896179,0.7002641439437867,0.020944870661714746,0.009366830915907034,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0721016526222229,0.07311573944220055,0.06882700393439417,0.030780371896990167
Claude Sonnet 4.6,10.1007_978-3-642-18137-5_14,5,5,0.6363815665245056,0.6262407898902893,0.022010255123336986,0.009843285331578903,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.0029417872428894043,-0.0009076146112967587,0.07037222381352312,0.03147141523497343
Claude Sonnet 4.6,10.1007_978-981-10-6439-5_8,5,5,0.6471652984619141,0.6324539661407471,0.025469374163627427,0.011390250394849555,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.007841944694519043,0.005305561639161005,0.050380104098069395,0.022530667495359778
Claude Sonnet 4.6,10.1007_978-981-13-2769-8_2,5,5,0.6374198198318481,0.6315165877342224,0.02388482249032835,0.010681617343778,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.001903533935546875,0.004368183232636347,0.07221023216673093,0.032293397559170454
Claude Sonnet 4.6,10.1007_bf01074955,5,5,0.6762635707855225,0.6663711905479431,0.03586836666225918,0.01604082121973975,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03694021701812744,0.03922278604635705,0.060982484590727276,0.027272196196339926
Claude Sonnet 4.6,10.1007_s00182-014-0419-9,5,5,0.6672139167785645,0.6574243545532227,0.034219178042530655,0.015303281647453346,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.027890563011169434,0.03027595005163659,0.0359978015090441,0.016098706242953422
