kind,model_a,model_b,n_items,pearson_r,spearman_rho
papers,GPT-5.1,GPT-4.1 Mini,1999,0.40259475907116243,0.30229631418648373
papers,GPT-5.1,GPT-4.1,1999,0.3761538892873357,0.2620802015939808
papers,GPT-5.1,GPT-5 Nano,1999,0.27198363413700993,0.25884282756578314
papers,GPT-5.1,GPT-5 Mini,1999,0.4328822317244146,0.30634375821856763
papers,GPT-5.1,Claude Sonnet 4.6,1999,0.3388325941422956,0.22305888771942947
papers,GPT-5.1,Gemini 2.5 Pro,1999,0.35876390025930766,0.271772472426568
papers,GPT-4.1 Mini,GPT-4.1,1999,0.519181139547275,0.46463479531074403
papers,GPT-4.1 Mini,GPT-5 Nano,1999,0.41192598339895453,0.36367240844183185
papers,GPT-4.1 Mini,GPT-5 Mini,1999,0.515610325521305,0.4538296630312224
papers,GPT-4.1 Mini,Claude Sonnet 4.6,1999,0.28530141784166496,0.21949592914268237
papers,GPT-4.1 Mini,Gemini 2.5 Pro,1999,0.35144807806601214,0.32089540326336397
papers,GPT-4.1,GPT-5 Nano,1999,0.3897503098087444,0.36058728246184923
papers,GPT-4.1,GPT-5 Mini,1999,0.5117292818643665,0.3759577754874839
papers,GPT-4.1,Claude Sonnet 4.6,1999,0.29760355962542634,0.19614022576165482
papers,GPT-4.1,Gemini 2.5 Pro,1999,0.31924133755160744,0.22256289552147518
papers,GPT-5 Nano,GPT-5 Mini,1999,0.45465601111546877,0.39865942524346076
papers,GPT-5 Nano,Claude Sonnet 4.6,1999,0.19998113586116403,0.15025308257397443
papers,GPT-5 Nano,Gemini 2.5 Pro,1999,0.24612050947850678,0.18335380626565304
papers,GPT-5 Mini,Claude Sonnet 4.6,1999,0.31127966357604875,0.22173769304669047
papers,GPT-5 Mini,Gemini 2.5 Pro,1999,0.4393510246286581,0.3459323176834532
papers,Claude Sonnet 4.6,Gemini 2.5 Pro,1999,0.3048002421248374,0.22818438608795738
collections,GPT-5.1,GPT-4.1 Mini,710,0.51088185250885,0.4380497861628957
collections,GPT-5.1,GPT-4.1,710,0.551848575561351,0.4410853270613035
collections,GPT-5.1,GPT-5 Nano,710,0.4423881674353784,0.33860201415005503
collections,GPT-5.1,GPT-5 Mini,710,0.592143228801184,0.4691649351573546
collections,GPT-5.1,Claude Sonnet 4.6,710,0.5160370619557969,0.40357582681047666
collections,GPT-5.1,Gemini 2.5 Pro,710,0.47185551870181264,0.3846861763626594
collections,GPT-4.1 Mini,GPT-4.1,710,0.6525504364332442,0.6363679454678541
collections,GPT-4.1 Mini,GPT-5 Nano,710,0.49104966075503353,0.42560870318685357
collections,GPT-4.1 Mini,GPT-5 Mini,710,0.5339399647015703,0.40849720749856056
collections,GPT-4.1 Mini,Claude Sonnet 4.6,710,0.5516188451231805,0.47782576308012076
collections,GPT-4.1 Mini,Gemini 2.5 Pro,710,0.2810589569753975,0.19192680480232024
collections,GPT-4.1,GPT-5 Nano,710,0.5165688633464891,0.4047005893141845
collections,GPT-4.1,GPT-5 Mini,710,0.6222476928491081,0.4476782808983637
collections,GPT-4.1,Claude Sonnet 4.6,710,0.6015870746536154,0.5109098793037196
collections,GPT-4.1,Gemini 2.5 Pro,710,0.426009006969129,0.29134862899282843
collections,GPT-5 Nano,GPT-5 Mini,710,0.5176548246332969,0.2891280950232571
collections,GPT-5 Nano,Claude Sonnet 4.6,710,0.4584439316306565,0.36885886862727446
collections,GPT-5 Nano,Gemini 2.5 Pro,710,0.28109400126721645,0.1645059546153389
collections,GPT-5 Mini,Claude Sonnet 4.6,710,0.5542761224699766,0.40459241117034445
collections,GPT-5 Mini,Gemini 2.5 Pro,710,0.5136719937090266,0.3716811764861229
collections,Claude Sonnet 4.6,Gemini 2.5 Pro,710,0.4636138276769399,0.3899654112800547
