dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman
individual_papers,within_model,Claude Sonnet 4.6,correlation_rank_centered,Correlation rank,ridge,2011,2011,0.02379399716842423,0.14482762403621063,0.023247009934745398,0.14568925039825717,0.016212462782988518,0.04981807175722515
individual_papers,within_model,GPT-4.1,correlation_rank_centered,Correlation rank,ridge,2010,2010,0.03780624676733657,0.19533515876395613,0.03642710405239915,0.20203598694032338,0.020009769896935873,0.05867325291509056
individual_papers,within_model,GPT-4.1 Mini,correlation_rank_centered,Correlation rank,random_forest,2011,2011,0.19879226084080948,0.43858392261909,0.19759430880554496,0.43946445938869444,0.03036977480253416,0.02700308131559145
individual_papers,within_model,GPT-5 Mini,correlation_rank_centered,Correlation rank,ridge,2008,2008,0.10433407439452069,0.32347729548064746,0.10375716123694786,0.32741480980120186,0.017361864648585697,0.030637268798881095
individual_papers,within_model,GPT-5 Nano,correlation_rank_centered,Correlation rank,ridge,2005,2005,0.05572846668979392,0.2163013606463289,0.05323642292404847,0.2241126332624827,0.02931257286052194,0.062125040080457584
individual_papers,within_model,GPT-5.1,correlation_rank_centered,Correlation rank,ridge,2009,2009,0.048990054386407134,0.21873492862725355,0.04557886660580122,0.22277889942117937,0.015929414062299443,0.04813667250354596
metadata_filter_collections,within_model,Claude Sonnet 4.6,correlation_rank_centered,Correlation rank,random_forest,715,715,0.07594412040137433,0.27326249394101215,0.07580276142716318,0.27809596506779605,0.05781606666723347,0.0883484508959996
metadata_filter_collections,within_model,GPT-4.1,correlation_rank_centered,Correlation rank,extra_trees,715,715,0.22449933771013952,0.4811100703528321,0.21804011431090825,0.47532512471518257,0.060555053858431386,0.051348766675372526
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation_rank_centered,Correlation rank,ridge,716,716,0.18416829948097824,0.42760581089278416,0.18027236502335026,0.4343368813475661,0.03719283833550972,0.04816297196070095
metadata_filter_collections,within_model,GPT-5 Mini,correlation_rank_centered,Correlation rank,random_forest,715,715,0.033449472812966397,0.1998329324293266,0.031945849834606355,0.2113472208542631,0.04835149007776105,0.07791157811633319
metadata_filter_collections,within_model,GPT-5 Nano,correlation_rank_centered,Correlation rank,gradient_boosting,712,712,0.08111065466397593,0.2946425059797477,0.07678240436781429,0.28917659584489064,0.06346975686982613,0.05527857578387246
metadata_filter_collections,within_model,GPT-5.1,correlation_rank_centered,Correlation rank,random_forest,716,716,0.09797134533118834,0.30032853941598475,0.09042049101713645,0.30508014730938476,0.0432930864554393,0.06118904232280843
