model,item_id,n_aug_runs,correlation,delta_correlation,baseline_correlation_mean30,above_baseline
Claude Sonnet 4.6,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,5,0.6403182744979858,0.0009949207305908,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_ajpa.1330770407,5,0.6793891787528992,0.0400658249855041,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_bdm.1810,5,0.6348628401756287,-0.0044605135917663,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_bdm.1976,5,0.6283497214317322,-0.0109736323356628,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_bdm.2012,5,0.6240533590316772,-0.0152699947357177,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_bdm.2050,5,0.6442453861236572,0.0049220323562622,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_bdm.2110,5,0.650922417640686,0.011599063873291,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_bdm.2208,5,0.5964497327804565,-0.0428736209869384,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_bdm.2243,5,0.6503613591194153,0.0110380053520202,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_bdm.2273,5,0.6450371146202087,0.0057137608528137,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_cplx.20244,5,0.678071916103363,0.038748562335968,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_cplx.20289,5,0.6389718055725098,-0.0003515481948852,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_ejsp.227,5,0.6709115505218506,0.0315881967544555,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_ejsp.3171,5,0.6734212636947632,0.0340979099273681,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_ejsp.506,5,0.6702159643173218,0.0308926105499267,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_evan.21430,5,0.748529314994812,0.1092059612274169,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_evan.21944,5,0.6329349875450134,-0.0063883662223815,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_hbm.21298,5,0.6081658601760864,-0.0311574935913085,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_hbm.25874,5,0.6466371417045593,0.0073137879371643,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_ijop.12257,5,0.6608722805976868,0.0215489268302917,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_ird.2704,5,0.6951981782913208,0.0558748245239257,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_mde.2877,5,0.6756951212882996,0.0363717675209045,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_mde.4492,5,0.6724491119384766,0.0331257581710815,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_pchj.259,5,0.6079685091972351,-0.0313548445701599,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_per.474,5,0.6588921546936035,0.0195688009262084,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_per.830,5,0.6218527555465698,-0.0174705982208251,0.6644858192216249,False
Claude Sonnet 4.6,10.1002_soej.12391,5,0.7072813510894775,0.0679579973220825,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_soej.12487,5,0.6941182017326355,0.0547948479652404,0.6644858192216249,True
Claude Sonnet 4.6,10.1002_soej.12626,5,0.6859117150306702,0.0465883612632751,0.6644858192216249,True
Claude Sonnet 4.6,10.1006_game.1994.1035,5,0.6925451755523682,0.0532218217849731,0.6644858192216249,True
Claude Sonnet 4.6,10.1006_game.1998.0638,5,0.6486654281616211,0.009342074394226,0.6644858192216249,False
Claude Sonnet 4.6,10.1006_jeth.2000.2655,5,0.6517272591590881,0.0124039053916931,0.6644858192216249,False
Claude Sonnet 4.6,10.1006_jtbi.1996.0286,5,0.663021981716156,0.0236986279487609,0.6644858192216249,False
Claude Sonnet 4.6,10.1006_jtbi.1998.0685,5,0.6692163944244385,0.0298930406570434,0.6644858192216249,True
Claude Sonnet 4.6,10.1006_jtbi.2000.1089,5,0.6690303087234497,0.0297069549560546,0.6644858192216249,True
Claude Sonnet 4.6,10.1006_jtbi.2000.2111,5,0.6077782511711121,-0.0315451025962829,0.6644858192216249,False
Claude Sonnet 4.6,10.1006_jtbi.2000.2202,5,0.6885935068130493,0.0492701530456543,0.6644858192216249,True
Claude Sonnet 4.6,10.1006_jtbi.2001.2406,5,0.6581830978393555,0.0188597440719604,0.6644858192216249,False
Claude Sonnet 4.6,10.1006_jtbi.2003.3104,5,0.6368491053581238,-0.0024742484092712,0.6644858192216249,False
Claude Sonnet 4.6,10.1006_obhd.1995.1015,5,0.6080881953239441,-0.0312351584434509,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_7854_2016_445,5,0.6322779655456543,-0.0070453882217407,0.6644858192216249,False
