estimator,estimator_label,model,model_display,feature_key,feature_label,feature_group,mean_importance,sd_importance,n_folds,n_total,se_importance,panel_key,panel_display
ridge,Ridge regression,Claude Sonnet 4.6,Claude Sonnet 4.6,biology_share,Biology,Journal discipline,0.11975475216242577,0.21494666668913937,5,2011,0.09612707165078105,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,Claude Sonnet 4.6,Claude Sonnet 4.6,citation,Citation,Prestige / visibility,1.207545170706716,0.5553864848618796,5,2011,0.24837638678716412,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,Claude Sonnet 4.6,Claude Sonnet 4.6,economics_share,Economics,Journal discipline,1.5630544160006796e-05,0.09191475887562425,5,2011,0.04110552979627959,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,Claude Sonnet 4.6,Claude Sonnet 4.6,empirical_share,Empirical papers,Study type,0.7275710168526642,0.14418095534688988,5,2011,0.0644796834433015,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,Claude Sonnet 4.6,Claude Sonnet 4.6,journal_impact,Journal Impact Factor,Prestige / visibility,0.08002330314445764,0.18598449334114295,5,2011,0.08317479397433052,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,Claude Sonnet 4.6,Claude Sonnet 4.6,mathphysics_share,Math/Physics,Journal discipline,0.10512766432062352,0.0975841043857814,5,2011,0.04364093818600851,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,Claude Sonnet 4.6,Claude Sonnet 4.6,multidisciplinary_share,Multidisciplinary,Journal discipline,-0.08429526505561084,0.060822325113219555,5,2011,0.027200570700550302,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,Claude Sonnet 4.6,Claude Sonnet 4.6,psychology_share,Psychology,Journal discipline,-0.007896750293498567,0.15338348144581163,5,2011,0.0685951782276825,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,Claude Sonnet 4.6,Claude Sonnet 4.6,recent,Publication Year,Publication timing,0.7271999637860017,0.4577987377792164,5,2011,0.2047338195375858,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,GPT-4.1,GPT-4.1,biology_share,Biology,Journal discipline,-0.025106060398983054,0.05596065502592596,5,2010,0.02502636574067714,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,GPT-4.1,GPT-4.1,citation,Citation,Prestige / visibility,-0.03181303637732476,0.06105988448036723,5,2010,0.02730681047927711,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,GPT-4.1,GPT-4.1,economics_share,Economics,Journal discipline,0.35441979548135194,0.08854657438410922,5,2010,0.039599231899521956,ridge_permutation_importance,Ridge permutation importance
ridge,Ridge regression,GPT-4.1,GPT-4.1,empirical_share,Empirical papers,Study type,0.6061048419985664,0.27833354164456336,5,2010,0.12447454390710246,ridge_permutation_importance,Ridge permutation importance
