feature_key,coef,n,repeat,model,item_type,positive,negative
journal_impact,0.00513781657587924,2011,rep1,GPT-5.1,papers,True,False
citation,-0.004892040925316325,2011,rep1,GPT-5.1,papers,False,True
empirical_share,-0.007466842961364026,2011,rep1,GPT-5.1,papers,False,True
recent,-0.0029598521063804025,2011,rep1,GPT-5.1,papers,False,True
biology_share,0.0011366489104132963,2011,rep1,GPT-5.1,papers,True,False
economics_share,0.00394444171316661,2011,rep1,GPT-5.1,papers,True,False
psychology_share,-0.004494007934264035,2011,rep1,GPT-5.1,papers,False,True
mathphysics_share,0.00011938388070673405,2011,rep1,GPT-5.1,papers,True,False
multidisciplinary_share,-0.0013241937321503878,2011,rep1,GPT-5.1,papers,False,True
journal_impact,0.001635985292915945,2011,rep1,GPT-4.1 Mini,papers,True,False
citation,-0.0048481802231931425,2011,rep1,GPT-4.1 Mini,papers,False,True
empirical_share,-0.011119587886925113,2011,rep1,GPT-4.1 Mini,papers,False,True
recent,-0.004843785019920845,2011,rep1,GPT-4.1 Mini,papers,False,True
biology_share,-0.0006953850814240087,2011,rep1,GPT-4.1 Mini,papers,False,True
economics_share,-0.008712969903993254,2011,rep1,GPT-4.1 Mini,papers,False,True
psychology_share,-0.00014599465152083821,2011,rep1,GPT-4.1 Mini,papers,False,True
mathphysics_share,-0.00241276319788874,2011,rep1,GPT-4.1 Mini,papers,False,True
multidisciplinary_share,-0.002311416888749742,2011,rep1,GPT-4.1 Mini,papers,False,True
journal_impact,0.00024267036391650412,2011,rep1,GPT-4.1,papers,True,False
citation,0.0004134400616000296,2011,rep1,GPT-4.1,papers,True,False
empirical_share,-0.002529183103272062,2011,rep1,GPT-4.1,papers,False,True
recent,0.00014098689191482404,2011,rep1,GPT-4.1,papers,True,False
biology_share,-0.00010081067716797936,2011,rep1,GPT-4.1,papers,False,True
economics_share,-0.002338080013550615,2011,rep1,GPT-4.1,papers,False,True
psychology_share,9.380127166383003e-06,2011,rep1,GPT-4.1,papers,True,False
mathphysics_share,0.0007146914725916444,2011,rep1,GPT-4.1,papers,True,False
multidisciplinary_share,-0.00027421342149393154,2011,rep1,GPT-4.1,papers,False,True
journal_impact,-0.0017487272143386508,1998,rep1,GPT-5 Nano,papers,False,True
citation,-0.001839591310938675,1998,rep1,GPT-5 Nano,papers,False,True
empirical_share,-0.005960767728752088,1998,rep1,GPT-5 Nano,papers,False,True
recent,-0.0023082677687193795,1998,rep1,GPT-5 Nano,papers,False,True
biology_share,0.003178016767637487,1998,rep1,GPT-5 Nano,papers,True,False
economics_share,0.0013590980860136734,1998,rep1,GPT-5 Nano,papers,True,False
psychology_share,0.004963214274103698,1998,rep1,GPT-5 Nano,papers,True,False
mathphysics_share,-0.00250641044003465,1998,rep1,GPT-5 Nano,papers,False,True
