custom_id,n_experiments_gpt41,n_experiments_sonnet46,count_match,delta
10.1093_pnasnexus_pgad091,2,16,False,14
10.1016_j.jesp.2022.104284,4,17,False,13
10.1016_j.socec.2023.102081,4,17,False,13
10.1093_qje_qjz001,4,17,False,13
10.1016_j.euroecorev.2021.103711,6,18,False,12
10.1016_j.jebo.2016.09.005,4,16,False,12
10.1098_rstb.2008.0275,4,16,False,12
10.1037_a0033495,2,13,False,11
10.1073_pnas.2415010122,3,14,False,11
10.1177_0003122413512316,3,14,False,11
10.1002_ejsp.3171,3,13,False,10
10.1016_j.irle.2013.07.005,3,13,False,10
10.1038_s41562-025-02258-7,5,15,False,10
10.2147_prbm.S370155,4,14,False,10
10.2307_2786703,5,15,False,10
10.1007_s11127-020-00868-5,4,13,False,9
10.1016_s1090-5138(02)00157-5,4,13,False,9
10.1037_pspi0000474,2,11,False,9
10.1007_978-3-642-13983-3_11,6,14,False,8
10.1007_s10683-014-9405-0,5,13,False,8
10.1007_s11127-016-0319-6,4,12,False,8
10.1016_j.actpsy.2024.104608,4,12,False,8
10.1016_j.jebo.2017.01.006,7,15,False,8
10.1016_j.jebo.2021.04.029,6,14,False,8
10.1016_j.jesp.2023.104566,4,12,False,8
10.1038_s41562-020-00950-4,4,12,False,8
10.1073_pnas.1505067112,8,16,False,8
10.1086_681231,8,16,False,8
10.1093_pnasnexus_pgae200,3,11,False,8
10.1093_restud_rdt022,4,12,False,8
10.1098_rspb.2012.2723,5,13,False,8
10.1111_eth.12223,8,16,False,8
10.1371_journal.pone.0026922,6,14,False,8
10.1523_jneurosci.0595-16.2016,4,12,False,8
10.1007_s10683-015-9452-1,5,12,False,7
10.1016_j.euroecorev.2016.08.004,8,15,False,7
10.1016_j.geb.2007.09.004,3,10,False,7
10.1016_j.socec.2011.04.001,7,14,False,7
10.1038_s41467-023-38592-5,4,11,False,7
10.1038_s41598-023-46944-w,4,11,False,7
10.1111_j.0021-9029.2006.00042.x,9,16,False,7
10.1111_j.1467-937X.2010.00608.x,5,12,False,7
10.1162_jeea.2005.3.2-3.303,5,12,False,7
10.1016_j.jpubeco.2015.03.007,5,11,False,6
10.1126_sciadv.abj7377,4,10,False,6
10.1177_0098628319834208,1,7,False,6
10.1257_000282803321455359,3,9,False,6
10.1371_journal.pone.0267251,6,12,False,6
10.1371_journal.pone.0273014,3,9,False,6
10.1016_j.geb.2017.02.007,6,11,False,5
10.1016_j.geb.2025.01.011,5,10,False,5
10.1016_j.jebo.2023.04.028,5,10,False,5
10.1080_09638180.2011.631734,5,10,False,5
10.1098_rsif.2011.0063,5,10,False,5
10.1177_1948550616639650,5,10,False,5
10.1257_aer.98.2.494,9,14,False,5
10.1371_journal.pone.0061458,4,9,False,5
10.1371_journal.pone.0326564,3,8,False,5
10.3389_fpsyg.2019.02956,9,14,False,5
10.1002_mde.2877,8,12,False,4
10.1002_soej.12487,4,8,False,4
10.1006_obhd.1995.1015,7,11,False,4
10.1007_s00355-020-01284-w,4,8,False,4
10.1007_s10683-022-09758-7,4,8,False,4
10.1016_j.ecolecon.2011.05.011,4,8,False,4
10.1016_j.evolhumbehav.2024.01.003,4,8,False,4
10.1016_j.geb.2007.05.001,4,8,False,4
10.1016_j.geb.2019.02.006,4,8,False,4
10.1016_j.geb.2020.07.004,5,9,False,4
10.1016_j.jdeveco.2022.102845,2,6,False,4
10.1016_j.jebo.2021.09.024,5,9,False,4
10.1016_j.jeem.2018.07.004,6,10,False,4
10.1016_j.jpubeco.2017.03.002,4,8,False,4
10.1016_j.leaqua.2019.04.003,4,8,False,4
10.1038_415424a,2,6,False,4
10.1038_srep23919,4,8,False,4
10.1086_684229,7,11,False,4
10.1111_ecin.12766,4,8,False,4
10.1111_geer.12103,1,5,False,4
10.1111_j.1465-7295.2007.00051.x,4,8,False,4
10.1177_0022002714560349,4,8,False,4
10.1177_0190272512442397,6,10,False,4
10.1257_mic.3.4.77,6,10,False,4
10.1371_journal.pone.0175472,3,7,False,4
10.2307_2669365,6,10,False,4
10.3389_fpsyg.2017.01990,4,8,False,4
10.7717_peerj.450,6,10,False,4
10.1002_per.474,8,11,False,3
10.1007_s11238-016-9572-x,4,7,False,3
10.1007_s12110-002-1012-7,7,10,False,3
10.1007_s12110-012-9136-x,3,6,False,3
10.1007_s40881-023-00137-3,2,5,False,3
10.1016_j.cub.2010.10.027,4,7,False,3
10.1016_j.euroecorev.2021.103862,6,9,False,3
10.1016_j.jebo.2009.03.022,3,6,False,3
10.1016_j.jebo.2024.04.016,4,7,False,3
10.1016_j.jenvp.2020.101441,5,8,False,3
10.1016_j.jpubeco.2012.08.003,7,10,False,3
10.1016_j.socec.2019.101478,9,12,False,3
10.1057_s41599-020-0419-2,6,9,False,3
10.1098_rsbl.2012.0470,3,6,False,3
10.1111_1475-4932.12073,6,9,False,3
10.1111_j.1749-6632.2009.04503.x,1,4,False,3
10.1002_bdm.1976,8,10,False,2
10.1002_bdm.2110,10,12,False,2
10.1002_hbm.25874,2,4,False,2
10.1007_s10683-006-9153-x,2,4,False,2
10.1007_s11127-021-00925-7,4,6,False,2
10.1016_j.anbehav.2023.08.014,4,6,False,2
10.1016_j.econlet.2017.05.022,2,4,False,2
10.1016_j.evolhumbehav.2004.04.002,6,8,False,2
10.1016_j.jebo.2014.03.005,3,5,False,2
10.1016_j.jebo.2015.05.013,6,8,False,2
10.1016_j.jebo.2019.08.008,6,8,False,2
10.1016_j.jebo.2023.11.027,4,6,False,2
10.1016_j.jebo.2024.02.003,2,4,False,2
10.1016_j.joep.2008.12.002,2,4,False,2
10.1016_j.joep.2017.07.002,6,8,False,2
10.1016_j.leaqua.2023.101695,2,4,False,2
10.1016_j.socec.2012.04.014,3,5,False,2
10.1016_j.socec.2015.03.007,3,5,False,2
10.1016_j.socec.2016.03.005,7,9,False,2
10.1016_j.socec.2018.09.006,4,6,False,2
10.1016_s0167-2681(02)00098-7,4,6,False,2
10.1038_nature01474,3,5,False,2
10.1038_s41467-017-02036-8,1,3,False,2
10.1038_s41562-022-01457-w,8,10,False,2
10.1038_s41598-025-07863-0,4,6,False,2
10.1073_pnas.0504902103,4,6,False,2
10.1086_699547,7,9,False,2
10.1098_rspb.2021.2174,6,8,False,2
10.1111_j.1420-9101.2010.01936.x,2,4,False,2
10.1126_sciadv.1601444,2,4,False,2
10.1177_0022002703258795,4,6,False,2
10.1177_1948550619849431,2,4,False,2
10.1287_mnsc.2015.2168,8,10,False,2
10.1371_journal.pone.0222724,4,6,False,2
10.1371_journal.pone.0227360,10,12,False,2
10.1371_journal.pone.0269523,2,4,False,2
10.1561_105.00000200_app,3,5,False,2
10.1628_093245616x14500948554072,6,8,False,2
10.3390_e22020199,3,5,False,2
10.1002_ejsp.793,2,3,False,1
10.1002_hbm.21298,2,3,False,1
10.1002_per.830,4,5,False,1
10.1007_s00355-017-1081-5,4,5,False,1
10.1007_s10551-024-05865-y,1,2,False,1
10.1007_s10640-015-9879-z,2,3,False,1
10.1007_s11238-023-09931-1,3,4,False,1
10.1007_s12110-003-1007-z,4,5,False,1
10.1016_j.amc.2024.128553,6,7,False,1
10.1016_j.anbehav.2016.01.010,14,15,False,1
10.1016_j.chieco.2024.102267,5,6,False,1
10.1016_j.cognition.2017.01.017,7,8,False,1
10.1016_j.euroecorev.2019.103346,6,7,False,1
10.1016_j.jebo.2013.08.002,3,4,False,1
10.1016_j.joep.2010.01.005,6,7,False,1
10.1016_j.joep.2019.102193,4,5,False,1
10.1016_j.jpubeco.2007.04.005,5,6,False,1
10.1016_j.marpol.2019.103673,4,5,False,1
10.1016_j.physa.2017.09.046,5,6,False,1
10.1016_j.physa.2022.128097,3,4,False,1
10.1016_j.physa.2024.129999,2,3,False,1
10.1017_ehs.2022.32,3,4,False,1
10.1037_pspi0000389,1,2,False,1
10.1037_xge0000365,5,6,False,1
10.1038_ncomms5939,10,11,False,1
10.1038_s41562-019-0707-2,3,4,False,1
10.1073_pnas.1608164114,4,5,False,1
10.1073_pnas.93.23.13421,7,8,False,1
10.1086_691630,6,7,False,1
10.1086_700098,2,3,False,1
10.1093_esr_jcaa062,3,4,False,1
10.1093_esr_jcx072,1,2,False,1
10.1093_sf_sov110,3,4,False,1
10.1098_rsos.192090,3,4,False,1
10.1098_rspb.2008.1082,3,4,False,1
10.1098_rspb.2011.0252,5,6,False,1
10.1098_rspb.2012.0615,7,8,False,1
10.1098_rspb.2013.0247,5,6,False,1
10.1111_j.1467-9442.2006.00444.x,6,7,False,1
10.1111_sjoe.12321,3,4,False,1
10.1177_10434631231219608,4,5,False,1
10.1257_mic.20180336,6,7,False,1
10.1371_journal.pone.0040325,8,9,False,1
10.1371_journal.pone.0069871,6,7,False,1
10.1371_journal.pone.0155414,2,3,False,1
10.1371_journal.pone.0166101,1,2,False,1
10.15195_v6.a14,4,5,False,1
10.2307_1964229,9,10,False,1
10.3390_g12030063,4,5,False,1
10.3763_cpol.2010.0106,4,5,False,1
10.1002_bdm.2012,6,5,False,-1
10.1007_s10683-011-9272-x,2,1,False,-1
10.1007_s10683-019-09629-8,2,1,False,-1
10.1016_j.euroecorev.2018.04.003,5,4,False,-1
10.1016_j.jebo.2023.09.007,4,3,False,-1
10.1016_j.jebo.2025.106930,6,5,False,-1
10.1016_j.jesp.2015.04.005,8,7,False,-1
10.1016_j.jpubeco.2011.05.001,3,2,False,-1
10.1016_j.neuropsychologia.2007.11.033,3,2,False,-1
10.1037_a0020280,6,5,False,-1
10.1037_xge0000018,6,5,False,-1
10.1038_nature07184,9,8,False,-1
10.1038_s41562-017-0191-5,10,9,False,-1
10.1038_s41562-022-01341-7,2,1,False,-1
10.1080_00220485.2018.1551097,2,1,False,-1
10.1080_17565529.2016.1174664,4,3,False,-1
10.1086_717102,3,2,False,-1
10.1093_jae_ejr034,4,3,False,-1
10.1098_rstb.2015.0010,4,3,False,-1
10.1126_sciadv.aau5175,3,2,False,-1
10.1177_1745691613488533,2,1,False,-1
10.1186_s12889-018-5218-y,4,3,False,-1
10.1371_journal.pone.0064677,6,5,False,-1
10.1515_bejeap-2013-0110,5,4,False,-1
10.1002_soej.12391,8,6,False,-2
10.1007_s00199-005-0633-6,4,2,False,-2
10.1007_s00355-021-01363-6,4,2,False,-2
10.1007_s10683-021-09737-4,5,3,False,-2
10.1016_j.evolhumbehav.2016.02.001,8,6,False,-2
10.1016_j.jebo.2021.02.016,6,4,False,-2
10.1016_j.jebo.2021.05.035,4,2,False,-2
10.1016_j.jesp.2016.06.007,4,2,False,-2
10.1016_j.jrp.2016.08.004,4,2,False,-2
10.1016_j.jtbi.2004.12.015,8,6,False,-2
10.1016_j.socec.2013.02.017,4,2,False,-2
10.1016_j.worlddev.2024.106686,6,4,False,-2
10.1017_s1355770x12000381,8,6,False,-2
10.1023_a_1023952115422,4,2,False,-2
10.1038_srep06025,4,2,False,-2
10.1073_pnas.1105604108,4,2,False,-2
10.1073_pnas.1315273111,6,4,False,-2
10.1080_13504851.2024.2363290,4,2,False,-2
10.1093_ej_uead030,4,2,False,-2
