model,condition,correlation,human_group,n_humans,percent_individuals_surpassed,percent_individuals_surpassed_or_tied
Claude Sonnet 4.6,baseline,0.6644858192216249,Experts,38,97.36842105263158,97.36842105263158
Claude Sonnet 4.6,baseline,0.6644858192216249,Laypeople,468,95.2991452991453,95.2991452991453
Claude Sonnet 4.6,science_gpt41,0.7990382022651856,Experts,38,100.0,100.0
Claude Sonnet 4.6,science_gpt41,0.7990382022651856,Laypeople,468,100.0,100.0
GPT-5.1,baseline,0.6526169304695439,Experts,38,94.73684210526315,94.73684210526315
GPT-5.1,baseline,0.6526169304695439,Laypeople,468,94.01709401709401,94.01709401709401
GPT-5.1,science_gpt41,0.7561935156415086,Experts,38,100.0,100.0
GPT-5.1,science_gpt41,0.7561935156415086,Laypeople,468,100.0,100.0
GPT-4.1 Mini,baseline,0.6154436723939997,Experts,38,78.94736842105263,78.94736842105263
GPT-4.1 Mini,baseline,0.6154436723939997,Laypeople,468,89.1025641025641,89.1025641025641
GPT-4.1 Mini,science_gpt41,0.7179281926483562,Experts,38,100.0,100.0
GPT-4.1 Mini,science_gpt41,0.7179281926483562,Laypeople,468,98.71794871794873,98.71794871794873
GPT-4.1,baseline,0.6145930323334073,Experts,38,78.94736842105263,78.94736842105263
GPT-4.1,baseline,0.6145930323334073,Laypeople,468,88.67521367521367,88.67521367521367
GPT-4.1,science_gpt41,0.7583894748982793,Experts,38,100.0,100.0
GPT-4.1,science_gpt41,0.7583894748982793,Laypeople,468,100.0,100.0
GPT-5 Nano,baseline,0.5984576014590568,Experts,38,76.31578947368422,76.31578947368422
GPT-5 Nano,baseline,0.5984576014590568,Laypeople,468,84.1880341880342,84.1880341880342
GPT-5 Nano,science_gpt41,0.7152943493157226,Experts,38,100.0,100.0
GPT-5 Nano,science_gpt41,0.7152943493157226,Laypeople,468,98.50427350427351,98.50427350427351
GPT-5 Mini,baseline,0.5616469732000592,Experts,38,57.89473684210527,57.89473684210527
GPT-5 Mini,baseline,0.5616469732000592,Laypeople,468,74.78632478632478,74.78632478632478
GPT-5 Mini,science_gpt41,0.7901828083779092,Experts,38,100.0,100.0
GPT-5 Mini,science_gpt41,0.7901828083779092,Laypeople,468,100.0,100.0
GPT-4.1 Nano,baseline,0.5212166586200164,Experts,38,39.473684210526315,39.473684210526315
GPT-4.1 Nano,baseline,0.5212166586200164,Laypeople,468,60.89743589743589,60.89743589743589
GPT-4.1 Nano,science_gpt41,0.6202339633070674,Experts,38,84.21052631578947,84.21052631578947
GPT-4.1 Nano,science_gpt41,0.6202339633070674,Laypeople,468,89.95726495726495,89.95726495726495
Gemini 2.5 Pro,baseline,0.39938199972137367,Experts,38,15.789473684210526,15.789473684210526
Gemini 2.5 Pro,baseline,0.39938199972137367,Laypeople,468,34.401709401709404,34.401709401709404
Gemini 2.5 Pro,science_gpt41,0.8425933927095225,Experts,38,100.0,100.0
Gemini 2.5 Pro,science_gpt41,0.8425933927095225,Laypeople,468,100.0,100.0
