model,condition,human_reference,model_corr,human_corr,delta_model_minus_human,delta_ci95_low,delta_ci95_high,p_bootstrap_two_sided,significant_95
Claude Sonnet 4.6,baseline,Laypeople WoC,0.6644858192216249,0.6038335627266781,0.060652256494946766,-0.08970700805750496,0.2448238010504325,0.47432,False
Claude Sonnet 4.6,baseline,Experts WoC,0.6644858192216249,0.605577147311127,0.05890867191049787,-0.05264107183935796,0.2090698731221984,0.35784,False
Claude Sonnet 4.6,science_gpt41,Laypeople WoC,0.7990382022651856,0.6038335627266781,0.19520463953850753,0.03749232673730083,0.4426162972188526,0.00896,True
Claude Sonnet 4.6,science_gpt41,Experts WoC,0.7990382022651856,0.605577147311127,0.19346105495405863,0.02600220171722917,0.4481614826179482,0.01888,True
GPT-5.1,baseline,Laypeople WoC,0.6526169304695439,0.6038335627266781,0.048783367742865846,-0.14947204391217597,0.2530882790660564,0.62668,False
GPT-5.1,baseline,Experts WoC,0.6526169304695439,0.605577147311127,0.04703978315841695,-0.1123382625723533,0.21466256158620994,0.55272,False
GPT-5.1,science_gpt41,Laypeople WoC,0.7561935156415086,0.6038335627266781,0.1523599529148305,-0.00758688375493055,0.37758630210215227,0.06556,False
GPT-5.1,science_gpt41,Experts WoC,0.7561935156415086,0.605577147311127,0.1506163683303816,-0.0004999167863774786,0.36452500873268295,0.0512,False
GPT-4.1 Mini,baseline,Laypeople WoC,0.6154436723939997,0.6038335627266781,0.011610109667321566,-0.11151106235407662,0.11559925031654417,0.81596,False
GPT-4.1 Mini,baseline,Experts WoC,0.6154436723939997,0.605577147311127,0.009866525082872668,-0.07291866727217683,0.08746208465468151,0.784,False
GPT-4.1 Mini,science_gpt41,Laypeople WoC,0.7179281926483562,0.6038335627266781,0.11409462992167807,0.02095317893979076,0.24390519485326345,0.0132,True
GPT-4.1 Mini,science_gpt41,Experts WoC,0.7179281926483562,0.605577147311127,0.11235104533722917,0.017341108634915947,0.24610701127160406,0.01724,True
GPT-4.1,baseline,Laypeople WoC,0.6145930323334073,0.6038335627266781,0.010759469606729244,-0.07181520542170952,0.09632594917983263,0.76292,False
GPT-4.1,baseline,Experts WoC,0.6145930323334073,0.605577147311127,0.009015885022280345,-0.05573480482878831,0.07659486086051955,0.7254,False
GPT-4.1,science_gpt41,Laypeople WoC,0.7583894748982793,0.6038335627266781,0.15455591217160125,0.038573216670067155,0.3288950412620987,0.00308,True
GPT-4.1,science_gpt41,Experts WoC,0.7583894748982793,0.605577147311127,0.15281232758715235,0.0373412259433489,0.3258599190924147,0.00492,True
GPT-5 Nano,baseline,Laypeople WoC,0.5984576014590568,0.6038335627266781,-0.005375961267621299,-0.08009509636771558,0.05978983955057953,0.87372,False
GPT-5 Nano,baseline,Experts WoC,0.5984576014590568,0.605577147311127,-0.007119545852070197,-0.08175306812902366,0.05547754504703116,0.85476,False
GPT-5 Nano,science_gpt41,Laypeople WoC,0.7152943493157226,0.6038335627266781,0.11146078658904446,0.032310718933867943,0.21871827298778412,0.00348,True
GPT-5 Nano,science_gpt41,Experts WoC,0.7152943493157226,0.605577147311127,0.10971720200459556,0.0265745260360178,0.2236101641769064,0.00804,True
GPT-5 Mini,baseline,Laypeople WoC,0.5616469732000592,0.6038335627266781,-0.04218658952661891,-0.27937265410536904,0.1594054962989714,0.74232,False
GPT-5 Mini,baseline,Experts WoC,0.5616469732000592,0.605577147311127,-0.04393017411106781,-0.24023117606451844,0.12078042597468668,0.66496,False
GPT-5 Mini,science_gpt41,Laypeople WoC,0.7901828083779092,0.6038335627266781,0.18634924565123112,0.04931469488120995,0.38494220789317135,0.00348,True
GPT-5 Mini,science_gpt41,Experts WoC,0.7901828083779092,0.605577147311127,0.18460566106678222,0.0459956922147884,0.3797849246065962,0.00644,True
GPT-4.1 Nano,baseline,Laypeople WoC,0.5212166586200164,0.6038335627266781,-0.08261690410666167,-0.19287340310077739,0.02112287186276834,0.13108,False
GPT-4.1 Nano,baseline,Experts WoC,0.5212166586200164,0.605577147311127,-0.08436048869111057,-0.21873457775301783,0.04855496958177125,0.2272,False
GPT-4.1 Nano,science_gpt41,Laypeople WoC,0.6202339633070674,0.6038335627266781,0.016400400580389274,-0.14529698529998442,0.1398351648847391,0.82368,False
GPT-4.1 Nano,science_gpt41,Experts WoC,0.6202339633070674,0.605577147311127,0.014656815995940375,-0.14651774529629275,0.15145545971677388,0.86968,False
Gemini 2.5 Pro,baseline,Laypeople WoC,0.39938199972137367,0.6038335627266781,-0.20445156300530443,-0.526321122567392,0.10454846003337932,0.194,False
Gemini 2.5 Pro,baseline,Experts WoC,0.39938199972137367,0.605577147311127,-0.20619514758975332,-0.5026244830437491,0.07481653120056075,0.15168,False
Gemini 2.5 Pro,science_gpt41,Laypeople WoC,0.8425933927095225,0.6038335627266781,0.2387598299828444,0.0499740645846392,0.5261933604619141,0.00984,True
Gemini 2.5 Pro,science_gpt41,Experts WoC,0.8425933927095225,0.605577147311127,0.2370162453983955,0.03889762035320914,0.5454196391686403,0.01524,True
