model,item_id,correlation,kind,kind_label,model_short
Claude Sonnet 4.6,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,0.6403182744979858,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_ajpa.1330770407,0.6793891787528992,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_bdm.1810,0.6348628401756287,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_bdm.1976,0.6283497214317322,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_bdm.2012,0.6240533590316772,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_bdm.2050,0.6442453861236572,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_bdm.2110,0.650922417640686,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_bdm.2208,0.5964497327804565,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_bdm.2243,0.6503613591194153,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_bdm.2273,0.6450371146202087,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_cplx.20244,0.678071916103363,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_cplx.20289,0.6389718055725098,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_ejsp.227,0.6709115505218506,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_ejsp.3171,0.6734212636947632,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_ejsp.506,0.6702159643173218,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_evan.21430,0.748529314994812,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_evan.21944,0.6329349875450134,individual_papers,Individual papers,Claude Sonnet 4.6
Claude Sonnet 4.6,10.1002_hbm.21298,0.6081658601760864,individual_papers,Individual papers,Claude Sonnet 4.6
