model,kind,item_id,group,correlation,count
Claude Sonnet 4.6,individual_papers,10.1002_ajpa.1330770407,Non-empirical,0.6793891787528992,
Claude Sonnet 4.6,individual_papers,10.1002_bdm.1810,Empirical,0.6348628401756287,
Claude Sonnet 4.6,individual_papers,10.1002_bdm.1976,Empirical,0.6283497214317322,
Claude Sonnet 4.6,individual_papers,10.1002_bdm.2012,Empirical,0.6240533590316772,
Claude Sonnet 4.6,individual_papers,10.1002_bdm.2050,Empirical,0.6442453861236572,
Claude Sonnet 4.6,individual_papers,10.1002_bdm.2110,Empirical,0.650922417640686,
Claude Sonnet 4.6,individual_papers,10.1002_bdm.2208,Empirical,0.5964497327804565,
Claude Sonnet 4.6,individual_papers,10.1002_bdm.2243,Empirical,0.6503613591194153,
Claude Sonnet 4.6,individual_papers,10.1002_bdm.2273,Empirical,0.6450371146202087,
Claude Sonnet 4.6,individual_papers,10.1002_cplx.20244,Non-empirical,0.678071916103363,
Claude Sonnet 4.6,individual_papers,10.1002_cplx.20289,Non-empirical,0.6389718055725098,
Claude Sonnet 4.6,individual_papers,10.1002_ejsp.227,Empirical,0.6709115505218506,
Claude Sonnet 4.6,individual_papers,10.1002_ejsp.3171,Empirical,0.6734212636947632,
Claude Sonnet 4.6,individual_papers,10.1002_ejsp.506,Empirical,0.6702159643173218,
Claude Sonnet 4.6,individual_papers,10.1002_evan.21430,Non-empirical,0.748529314994812,
Claude Sonnet 4.6,individual_papers,10.1002_evan.21944,Non-empirical,0.6329349875450134,
Claude Sonnet 4.6,individual_papers,10.1002_hbm.21298,Empirical,0.6081658601760864,
Claude Sonnet 4.6,individual_papers,10.1002_hbm.25874,Empirical,0.6466371417045593,
Claude Sonnet 4.6,individual_papers,10.1002_ijop.12257,Empirical,0.6608722805976868,
Claude Sonnet 4.6,individual_papers,10.1002_ird.2704,Empirical,0.6951981782913208,
Claude Sonnet 4.6,individual_papers,10.1002_mde.2877,Empirical,0.6756951212882996,
Claude Sonnet 4.6,individual_papers,10.1002_mde.4492,Empirical,0.6724491119384766,
Claude Sonnet 4.6,individual_papers,10.1002_pchj.259,Empirical,0.6079685091972351,
Claude Sonnet 4.6,individual_papers,10.1002_per.474,Empirical,0.6588921546936035,
Claude Sonnet 4.6,individual_papers,10.1002_per.830,Empirical,0.6218527555465698,
Claude Sonnet 4.6,individual_papers,10.1002_soej.12391,Empirical,0.7072813510894775,
Claude Sonnet 4.6,individual_papers,10.1002_soej.12487,Empirical,0.6941182017326355,
Claude Sonnet 4.6,individual_papers,10.1002_soej.12626,Empirical,0.6859117150306702,
Claude Sonnet 4.6,individual_papers,10.1006_game.1994.1035,Empirical,0.6925451755523682,
Claude Sonnet 4.6,individual_papers,10.1006_game.1998.0638,Empirical,0.6486654281616211,
Claude Sonnet 4.6,individual_papers,10.1006_jeth.2000.2655,Non-empirical,0.6517272591590881,
Claude Sonnet 4.6,individual_papers,10.1006_jtbi.1996.0286,Non-empirical,0.663021981716156,
Claude Sonnet 4.6,individual_papers,10.1006_jtbi.1998.0685,Non-empirical,0.6692163944244385,
Claude Sonnet 4.6,individual_papers,10.1006_jtbi.2000.1089,Non-empirical,0.6690303087234497,
Claude Sonnet 4.6,individual_papers,10.1006_jtbi.2000.2111,Non-empirical,0.6077782511711121,
Claude Sonnet 4.6,individual_papers,10.1006_jtbi.2000.2202,Non-empirical,0.6885935068130493,
Claude Sonnet 4.6,individual_papers,10.1006_jtbi.2001.2406,Non-empirical,0.6581830978393555,
Claude Sonnet 4.6,individual_papers,10.1006_jtbi.2003.3104,Non-empirical,0.6368491053581238,
Claude Sonnet 4.6,individual_papers,10.1006_obhd.1995.1015,Empirical,0.6080881953239441,
Claude Sonnet 4.6,individual_papers,10.1007_7854_2016_445,Non-empirical,0.6322779655456543,
Claude Sonnet 4.6,individual_papers,10.1007_978-0-387-72596-3_7,Non-empirical,0.6039502620697021,
Claude Sonnet 4.6,individual_papers,10.1007_978-0-387-72596-3_8,Empirical,0.6869317293167114,
Claude Sonnet 4.6,individual_papers,10.1007_978-3-540-85436-4,Non-empirical,0.6825997829437256,
Claude Sonnet 4.6,individual_papers,10.1007_978-3-540-85436-4_5,Non-empirical,0.6712401509284973,
Claude Sonnet 4.6,individual_papers,10.1007_978-3-642-02624-9_8,Non-empirical,0.6487749218940735,
Claude Sonnet 4.6,individual_papers,10.1007_978-3-642-13983-3_11,Empirical,0.7114250063896179,
Claude Sonnet 4.6,individual_papers,10.1007_978-3-642-18137-5_14,Non-empirical,0.6363815665245056,
Claude Sonnet 4.6,individual_papers,10.1007_978-981-10-6439-5_8,Non-empirical,0.6471652984619141,
Claude Sonnet 4.6,individual_papers,10.1007_978-981-13-2769-8_2,Non-empirical,0.6374198198318481,
Claude Sonnet 4.6,individual_papers,10.1007_bf01074955,Non-empirical,0.6762635707855225,
Claude Sonnet 4.6,individual_papers,10.1007_s00182-014-0419-9,Non-empirical,0.6672139167785645,
Claude Sonnet 4.6,individual_papers,10.1007_s00182-015-0520-8,Non-empirical,0.674209475517273,
Claude Sonnet 4.6,individual_papers,10.1007_s001820050100,Empirical,0.6685872077941895,
