kind,model,n_items,rank_reliability_single_repeat,rank_reliability_single_repeat_sd,rank_reliability_avg5
papers,GPT-5 Mini,2011,0.3186182215003478,0.024009158235023007,0.7004221141991509
papers,GPT-5 Nano,2011,0.2768312907204654,0.017901365837955905,0.6568309808010033
papers,GPT-4.1,2011,0.3945120478694085,0.02217067724107739,0.7651370699228279
papers,GPT-4.1 Mini,2011,0.37723872879618037,0.01818134474330594,0.751784590693624
papers,GPT-5.1,2011,0.2263595076243615,0.02346492782045869,0.5939828637860939
collections,GPT-5 Mini,715,0.320489107220706,0.031183120789178398,0.7022244227897192
collections,GPT-5 Nano,715,0.20300115841143312,0.035475750361545745,0.5601562894543959
collections,GPT-4.1,715,0.5983325966259635,0.023348893294023614,0.8816303284314516
collections,GPT-4.1 Mini,715,0.4684398591122806,0.021506516118358257,0.815029701461537
collections,GPT-5.1,715,0.38232607979607885,0.048875582950207795,0.7557929603334101
