kind,model_a,model_b,n_items,observed_spearman,rank_ceiling,ceiling_fraction
papers,GPT-5 Mini,GPT-5 Nano,2011,0.3954034501348967,0.5204340613154079,0.7597570557459407
papers,GPT-5 Mini,GPT-4.1,2011,0.3755915547281162,0.4897500249881717,0.7669046157520611
papers,GPT-5 Mini,GPT-4.1 Mini,2011,0.45479589838876644,0.4814158274197141,0.9447049151382811
papers,GPT-5 Mini,GPT-5.1,2011,0.30522183912609424,0.48549279710070703,0.6286845880079684
papers,GPT-5 Nano,GPT-4.1,2011,0.36020032599040486,0.5788670983854068,0.6222504733730526
papers,GPT-5 Nano,GPT-4.1 Mini,2011,0.36274561521748466,0.5690163734897005,0.6374959177234477
papers,GPT-5 Nano,GPT-5.1,2011,0.2633637208114807,0.573835206545398,0.45895357727697234
papers,GPT-4.1,GPT-4.1 Mini,2011,0.46247440472859613,0.535467994602238,0.8636826278891537
papers,GPT-4.1,GPT-5.1,2011,0.2615333093608117,0.540002716260303,0.4843185070845868
papers,GPT-4.1 Mini,GPT-5.1,2011,0.3021589059282868,0.5308133561884463,0.5692375717483192
collections,GPT-5 Mini,GPT-5 Nano,715,0.2945685227756359,0.4599323411368428,0.6404605556711513
collections,GPT-5 Mini,GPT-4.1,715,0.450562306987806,0.5060773934398913,0.8903031687016483
collections,GPT-5 Mini,GPT-4.1 Mini,715,0.4097345966553985,0.4954235883870809,0.8270389344789686
collections,GPT-5 Mini,GPT-5.1,715,0.4707834065375965,0.4912393003002395,0.9583585968180057
collections,GPT-5 Nano,GPT-4.1,715,0.41037956836359035,0.5323932727769728,0.7708203490683555
collections,GPT-5 Nano,GPT-4.1 Mini,715,0.43157778926535995,0.5211854729164811,0.828069490982377
collections,GPT-5 Nano,GPT-5.1,715,0.3426547467753555,0.5167836030490025,0.6630526679904437
collections,GPT-4.1,GPT-4.1 Mini,715,0.6376947620051224,0.573476057326949,1.11198149226579
collections,GPT-4.1,GPT-5.1,715,0.44177152490765503,0.5686325474678925,0.776901580598672
collections,GPT-4.1 Mini,GPT-5.1,715,0.44261660127581914,0.5566618481520665,0.7951265256369914
