kind,model_a,model_b,n_items,observed_spearman,repeat_rank_ceiling_avg5,ceiling_fraction
papers,GPT-5 Mini,GPT-5 Nano,2011,0.39683618873337645,0.6782764511938628,0.5850655555487566
papers,GPT-5 Mini,GPT-4.1,2011,0.3746808405690987,0.7320648360408323,0.511813738514549
papers,GPT-5 Mini,GPT-4.1 Mini,2011,0.4543121627612826,0.7256490559740096,0.6260769707079377
papers,GPT-5 Mini,GPT-5.1,2011,0.30513308407590467,0.6450106458432466,0.47306674090160594
papers,GPT-5 Nano,GPT-4.1,2011,0.3602212628705035,0.7089187062594815,0.5081277439710468
papers,GPT-5 Nano,GPT-4.1 Mini,2011,0.36419250332320724,0.7027057777308893,0.518271679079149
papers,GPT-5 Nano,GPT-5.1,2011,0.2615049231830475,0.6246169602241112,0.4186644613191741
papers,GPT-4.1,GPT-4.1 Mini,2011,0.462298401300011,0.7584314464316811,0.6095454025213002
papers,GPT-4.1,GPT-5.1,2011,0.2625646435322184,0.6741500633995833,0.38947507059209563
papers,GPT-4.1 Mini,GPT-5.1,2011,0.3020376086872755,0.6682418455398129,0.4519884690000015
collections,GPT-5 Mini,GPT-5 Nano,715,0.2891280950232571,0.6271805378311288,0.460996599197895
collections,GPT-5 Mini,GPT-4.1,715,0.4500824021295296,0.7868305716586556,0.5720194643438248
collections,GPT-5 Mini,GPT-4.1 Mini,715,0.4118216739122605,0.7565274361616404,0.5443578834387048
collections,GPT-5 Mini,GPT-5.1,715,0.4738161104632517,0.7285164893937969,0.650384881277728
collections,GPT-5 Nano,GPT-4.1,715,0.4045466691379495,0.7027451696345001,0.5756662395109104
collections,GPT-5 Nano,GPT-4.1 Mini,715,0.4248423324156311,0.6756804077119734,0.6287622484929759
collections,GPT-5 Nano,GPT-5.1,715,0.3377079881028215,0.6506628775764884,0.5190214468061801
collections,GPT-4.1,GPT-4.1 Mini,715,0.6376947620051224,0.8476761783729225,0.7522858118169012
collections,GPT-4.1,GPT-5.1,715,0.44177152490765503,0.8162903869609904,0.5411940799062317
collections,GPT-4.1 Mini,GPT-5.1,715,0.44261660127581914,0.7848526682296942,0.5639486481891954
