kind,model,n_items,rank_reliability_mean,rank_reliability_sd
papers,GPT-5 Mini,2011,0.44031280279159546,0.2948840856552124
papers,GPT-5 Nano,2011,0.6151345372200012,0.21549293398857117
papers,GPT-4.1,2011,0.5447379350662231,0.23551352322101593
papers,GPT-4.1 Mini,2011,0.5263558030128479,0.2241448312997818
papers,GPT-5.1,2011,0.5353086590766907,0.21926306188106537
collections,GPT-5 Mini,715,0.4371981620788574,0.2531764507293701
collections,GPT-5 Nano,715,0.4838486909866333,0.24314619600772858
collections,GPT-4.1,715,0.5858083367347717,0.23622816801071167
collections,GPT-4.1 Mini,715,0.5614033937454224,0.239857017993927
collections,GPT-5.1,715,0.5519603490829468,0.21555791795253754
