model,condition,human_reference,model_corr,human_corr,delta_model_minus_human,delta_ci95_low,delta_ci95_high,p_bootstrap_two_sided,significant_95,n_boot
Claude Sonnet 4.6,baseline,Laypeople WoC,0.664485819221625,0.6038335627266782,0.060652256494946766,-0.08961856831623762,0.2449796249525008,0.46916,False,50000
Claude Sonnet 4.6,baseline,Experts WoC,0.664485819221625,0.6055771473111272,0.058908671910497756,-0.05327951316363618,0.21023406354785168,0.35528,False,50000
Claude Sonnet 4.6,science_gpt41,Laypeople WoC,0.7990382022651855,0.6038335627266782,0.1952046395385073,0.036504682716915,0.4400120493595856,0.00936,True,50000
Claude Sonnet 4.6,science_gpt41,Experts WoC,0.7990382022651855,0.6055771473111272,0.1934610549540583,0.027802029162247395,0.4517520844749115,0.01716,True,50000
GPT-4.1,baseline,Laypeople WoC,0.6145930323334075,0.6038335627266782,0.010759469606729244,-0.07231426564008528,0.09672734271907654,0.76116,False,50000
GPT-4.1,baseline,Experts WoC,0.6145930323334075,0.6055771473111272,0.009015885022280234,-0.05494805023488846,0.07667710769307301,0.7176,False,50000
GPT-4.1,science_gpt41,Laypeople WoC,0.7583894748982796,0.6038335627266782,0.15455591217160136,0.038933144856811014,0.328794739765865,0.00296,True,50000
GPT-4.1,science_gpt41,Experts WoC,0.7583894748982796,0.6055771473111272,0.15281232758715235,0.03732810542898611,0.3250791156765692,0.00464,True,50000
Gemini 2.5 Pro,baseline,Laypeople WoC,0.39938199972137367,0.6038335627266782,-0.20445156300530454,-0.5199652601701373,0.10615784117880543,0.19796,False,50000
Gemini 2.5 Pro,baseline,Experts WoC,0.39938199972137367,0.6055771473111272,-0.20619514758975355,-0.5010296929040028,0.07601185691821986,0.15124,False,50000
Gemini 2.5 Pro,science_gpt41,Laypeople WoC,0.8425933927095227,0.6038335627266782,0.2387598299828445,0.05017983285245008,0.5261006454661896,0.00872,True,50000
Gemini 2.5 Pro,science_gpt41,Experts WoC,0.8425933927095227,0.6055771473111272,0.2370162453983955,0.039760313651432205,0.5453094417580581,0.01424,True,50000
