custom_id,paper_id,dimension,present,evidence_tier,effect_direction,evidence_basis,notes,support_refs
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,player_count,yes,informative_direct,N/A,manipulated,"The model is a two-player (police and driver) game, or a population version with two roles. Not a multi-player PGG.",Equilibrium of a mixed-strategy game | System dynamics model for a mixed-strategy game
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,num_rounds,yes,informative_direct,N/A,manipulated,"The model is dynamic and continuous-time, with simulations run for thousands of time steps (days). There is no fixed number of rounds; the system evolves over time.",Simulation results: Oscillation rather than equilibrium | Simulation results: The effectiveness of penalty increase
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,chat,no,not_present,N/A,N/A,No communication or chat between players is modeled or discussed.,
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,all_or_nothing,yes,informative_direct,N/A,manipulated,"Players choose between two discrete actions: violate or conform (driver), patrol or not (police). All-or-nothing choices.",Equilibrium of a mixed-strategy game | System dynamics model for a mixed-strategy game
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,default_contrib,no,not_present,N/A,N/A,No mention of default framing or opt-in/opt-out structure.,
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,mpcr,no,not_present,N/A,N/A,No marginal per-capita return; not a public goods game.,
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,punishment_cost,yes,informative_direct,N/A,manipulated,"Penalty for violation is a key parameter (dpvp), varied in simulations. The cost to the punisher (police) is not explicitly modeled as a cost per se, but police payoffs are affected by their actions and the driver's behavior.",Table 2. Constant variables for payoffs in the game | Simulation results: The effectiveness of penalty increase
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,punishment_tech,yes,informative_direct,N/A,manipulated,Punishment effectiveness is modeled as the impact of penalty (dpvp) on the driver's expected utility. Simulations vary the penalty magnitude to test effects.,Simulation results: The effectiveness of penalty increase | Table 2
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,reward_exists,no,not_present,N/A,N/A,No reward or positive incentive mechanism is modeled or discussed.,
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,reward_cost,no,not_present,N/A,N/A,No reward mechanism.,
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,reward_tech,no,not_present,N/A,N/A,No reward mechanism.,
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,show_n_rounds,no,not_present,N/A,N/A,No mention of players knowing the number of rounds; the model is continuous-time and open-ended.,
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,show_other_summaries,no,not_present,N/A,N/A,No mention of summary information about others' actions or payoffs being shown to players.,
10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,show_punishment_id,no,not_present,N/A,N/A,"No mention of identification of who punished; the model is role-based (police vs. driver), not individual-based.",
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,player_count,yes,informative_direct,more_positive,manipulated,Player count (n) is a key parameter in the n-person PD analysis. Larger group size (with sufficient group partitioning) allows for more robust maintenance of cooperation and efficiency via punishment.,GENERALIZING TO THE N-PERSON PD | EVOLUTIONARY STABILITY OF TFT IN FINITE POPULATIONS
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,num_rounds,yes,informative_direct,more_positive,manipulated,The analysis assumes an iterated game with repeated rounds (probability w of continuation). Higher w (more rounds) increases the effectiveness of punishment in sustaining cooperation and efficiency.,EVOLUTIONARY STABILITY OF TFT IN FINITE POPULATIONS | GENERALIZING TO THE N-PERSON PD
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,chat,no,not_present,N/A,N/A,No mention or analysis of communication or chat between players.,
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,all_or_nothing,yes,contextual,N/R,discussion_only,"The game is modeled as a binary choice (cooperate or defect) in each round, which is equivalent to all-or-nothing contribution.",Table 1 | GENERALIZING TO THE N-PERSON PD
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,default_contrib,no,not_present,N/A,N/A,No mention of default contribution framing.,
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,mpcr,yes,informative_direct,more_positive,manipulated,"The payoff structure (T, R, P, S) determines the marginal per-capita return. The analysis assumes standard PD inequalities (T>R>P>S>0), and the group benefit of cooperation is central to the efficiency results.",Table 1 | GENERALIZING TO THE N-PERSON PD
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,punishment_cost,yes,contextual,more_positive,discussion_only,"Punishment is implemented as immediate retaliation (TFT/NTFT), which imposes a cost on both the punisher and the punished. The cost is not parameterized separately but is implicit in the payoff structure.",SPITEFUL DEFECTION IN FINITE POPULATIONS | GENERALIZING TO THE N-PERSON PD
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,punishment_tech,yes,contextual,more_positive,discussion_only,Punishment effectiveness is modeled as the ability of TFT/NTFT to reduce the payoff of defectors. The analysis shows that this is sufficient to suppress defection under the right conditions.,SPITEFUL DEFECTION IN FINITE POPULATIONS | GENERALIZING TO THE N-PERSON PD
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,reward_exists,no,not_present,N/A,N/A,No mention or analysis of reward mechanisms.,
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,reward_cost,no,not_present,N/A,N/A,No mention or analysis of reward cost.,
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,reward_tech,no,not_present,N/A,N/A,No mention or analysis of reward effectiveness.,
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,show_n_rounds,no,not_present,N/A,N/A,No mention of whether players know the number of rounds.,
10.1002_ajpa.1330770407,10.1002_ajpa.1330770407,show_other_summaries,no,not_present,N/A,N/A,No mention of summary information shown to players.,
