repeat,repeat_index,model,source_id,correlation,baseline_correlation,delta_correlation
rep1,1,GPT-5.1,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,0.6836374998092651,0.6311749649891302,0.052462534820134965
rep1,1,GPT-5.1,10.1002_ajpa.1330770407,0.7345628142356873,0.6311749649891302,0.10338784924655708
rep1,1,GPT-5.1,10.1002_bdm.1810,0.560197651386261,0.6311749649891302,-0.07097731360286919
rep1,1,GPT-5.1,10.1002_bdm.1976,0.5866487622261047,0.6311749649891302,-0.044526202763025435
rep1,1,GPT-5.1,10.1002_bdm.2012,0.5228788256645203,0.6311749649891302,-0.10829613932460991
rep1,1,GPT-5.1,10.1002_bdm.2050,0.5360414981842041,0.6311749649891302,-0.09513346680492607
rep1,1,GPT-5.1,10.1002_bdm.2110,0.6504892706871033,0.6311749649891302,0.0193143056979731
rep1,1,GPT-5.1,10.1002_bdm.2208,0.5220543742179871,0.6311749649891302,-0.10912059077114311
rep1,1,GPT-5.1,10.1002_bdm.2243,0.6511946320533752,0.6311749649891302,0.020019667064245072
rep1,1,GPT-5.1,10.1002_bdm.2273,0.6502928137779236,0.6311749649891302,0.019117848788793412
rep1,1,GPT-5.1,10.1002_cplx.20244,0.5119460225105286,0.6311749649891302,-0.11922894247860161
rep1,1,GPT-5.1,10.1002_cplx.20289,0.5571435689926147,0.6311749649891302,-0.07403139599651543
rep1,1,GPT-5.1,10.1002_ejsp.227,0.4038305878639221,0.6311749649891302,-0.22734437712520805
rep1,1,GPT-5.1,10.1002_ejsp.3171,0.5916953682899475,0.6311749649891302,-0.03947959669918266
rep1,1,GPT-5.1,10.1002_ejsp.506,0.5267032384872437,0.6311749649891302,-0.10447172650188652
rep1,1,GPT-5.1,10.1002_evan.21430,0.7427806258201599,0.6311749649891302,0.11160566083102974
rep1,1,GPT-5.1,10.1002_evan.21944,0.6256459951400757,0.6311749649891302,-0.005528969849054488
rep1,1,GPT-5.1,10.1002_hbm.21298,0.5553579926490784,0.6311749649891302,-0.0758169723400518
rep1,1,GPT-5.1,10.1002_hbm.25874,0.5400336384773254,0.6311749649891302,-0.09114132651180473
rep1,1,GPT-5.1,10.1002_ijop.12257,0.5271927118301392,0.6311749649891302,-0.10398225315899101
rep1,1,GPT-5.1,10.1002_ird.2704,0.0950792133808136,0.6311749649891302,-0.5360957516083166
rep1,1,GPT-5.1,10.1002_mde.2877,0.11610027402639389,0.6311749649891302,-0.5150746909627363
rep1,1,GPT-5.1,10.1002_mde.4492,0.5425642728805542,0.6311749649891302,-0.08861069210857597
rep1,1,GPT-5.1,10.1002_pchj.259,0.31970664858818054,0.6311749649891302,-0.31146831640094963
rep1,1,GPT-5.1,10.1002_per.474,0.4728398323059082,0.6311749649891302,-0.15833513268322197
rep1,1,GPT-5.1,10.1002_per.830,0.32026681303977966,0.6311749649891302,-0.3109081519493505
rep1,1,GPT-5.1,10.1002_soej.12391,0.5551760792732239,0.6311749649891302,-0.0759988857159063
rep1,1,GPT-5.1,10.1002_soej.12487,0.534031093120575,0.6311749649891302,-0.09714387186855522
rep1,1,GPT-5.1,10.1002_soej.12626,0.7649583220481873,0.6311749649891302,0.13378335705905708
rep1,1,GPT-5.1,10.1006_game.1994.1035,0.6422345042228699,0.6311749649891302,0.011059539233739701
rep1,1,GPT-5.1,10.1006_game.1998.0638,0.7189257740974426,0.6311749649891302,0.08775080910831246
rep1,1,GPT-5.1,10.1006_jeth.2000.2655,0.3586044907569885,0.6311749649891302,-0.27257047423214165
rep1,1,GPT-5.1,10.1006_jtbi.1996.0286,0.58957439661026,0.6311749649891302,-0.04160056837887016
rep1,1,GPT-5.1,10.1006_jtbi.1998.0685,0.5029348731040955,0.6311749649891302,-0.1282400918850347
rep1,1,GPT-5.1,10.1006_jtbi.2000.1089,0.5716328620910645,0.6311749649891302,-0.05954210289806572
rep1,1,GPT-5.1,10.1006_jtbi.2000.2111,0.5732917785644531,0.6311749649891302,-0.05788318642467705
rep1,1,GPT-5.1,10.1006_jtbi.2000.2202,0.5307173132896423,0.6311749649891302,-0.10045765169948784
rep1,1,GPT-5.1,10.1006_jtbi.2001.2406,0.6612548828125,0.6311749649891302,0.03007991782336983
rep1,1,GPT-5.1,10.1006_jtbi.2003.3104,0.5015555024147034,0.6311749649891302,-0.1296194625744268
rep1,1,GPT-5.1,10.1006_obhd.1995.1015,0.4485665559768677,0.6311749649891302,-0.1826084090122625
rep1,1,GPT-5.1,10.1007_7854_2016_445,0.5123170614242554,0.6311749649891302,-0.1188579035648748
rep1,1,GPT-5.1,10.1007_978-0-387-72596-3_7,0.6075991988182068,0.6311749649891302,-0.023575766170923385
rep1,1,GPT-5.1,10.1007_978-0-387-72596-3_8,0.6426436305046082,0.6311749649891302,0.011468665515477983
