kind,repeat,model_a,model_b,n_items,observed_spearman
papers,rep1,GPT-5.1,GPT-4.1 Mini,1998,0.16471680753467088
papers,rep1,GPT-5.1,GPT-4.1,1998,0.1891829747822858
papers,rep1,GPT-5.1,GPT-5 Nano,1998,0.10398178716773704
papers,rep1,GPT-5.1,GPT-5 Mini,1998,0.1436670358519553
papers,rep1,GPT-4.1 Mini,GPT-4.1,1998,0.24584822731674683
papers,rep1,GPT-4.1 Mini,GPT-5 Nano,1998,0.15711300584169655
papers,rep1,GPT-4.1 Mini,GPT-5 Mini,1998,0.23088877220926657
papers,rep1,GPT-4.1,GPT-5 Nano,1998,0.18145492709817676
papers,rep1,GPT-4.1,GPT-5 Mini,1998,0.15969378667226566
papers,rep1,GPT-5 Nano,GPT-5 Mini,1998,0.13141670091938418
papers,rep2,GPT-5.1,GPT-4.1 Mini,1983,0.1403106500714509
papers,rep2,GPT-5.1,GPT-4.1,1983,0.13423604613432089
papers,rep2,GPT-5.1,GPT-5 Nano,1983,0.12323192515652576
papers,rep2,GPT-5.1,GPT-5 Mini,1983,0.17327710647940012
papers,rep2,GPT-4.1 Mini,GPT-4.1,1983,0.2437539650415557
papers,rep2,GPT-4.1 Mini,GPT-5 Nano,1983,0.21053820011081245
papers,rep2,GPT-4.1 Mini,GPT-5 Mini,1983,0.24351063884555563
papers,rep2,GPT-4.1,GPT-5 Nano,1983,0.18974624931145323
papers,rep2,GPT-4.1,GPT-5 Mini,1983,0.2015561951113503
papers,rep2,GPT-5 Nano,GPT-5 Mini,1983,0.23772919325506436
papers,rep3,GPT-5.1,GPT-4.1 Mini,1991,0.14936180454312548
papers,rep3,GPT-5.1,GPT-4.1,1991,0.10574302292637218
papers,rep3,GPT-5.1,GPT-5 Nano,1991,0.07825996238744076
papers,rep3,GPT-5.1,GPT-5 Mini,1991,0.14614893474274848
papers,rep3,GPT-4.1 Mini,GPT-4.1,1991,0.2720758713707364
papers,rep3,GPT-4.1 Mini,GPT-5 Nano,1991,0.23368011235455008
papers,rep3,GPT-4.1 Mini,GPT-5 Mini,1991,0.23675329388537167
papers,rep3,GPT-4.1,GPT-5 Nano,1991,0.20015759245058695
papers,rep3,GPT-4.1,GPT-5 Mini,1991,0.2107198415495479
papers,rep3,GPT-5 Nano,GPT-5 Mini,1991,0.22514787352663873
papers,rep4,GPT-5.1,GPT-4.1 Mini,1991,0.10365550353009549
papers,rep4,GPT-5.1,GPT-4.1,1991,0.14483563615206177
papers,rep4,GPT-5.1,GPT-5 Nano,1991,0.1215940908327805
papers,rep4,GPT-5.1,GPT-5 Mini,1991,0.17065506487174725
papers,rep4,GPT-4.1 Mini,GPT-4.1,1991,0.2465736511602265
papers,rep4,GPT-4.1 Mini,GPT-5 Nano,1991,0.18504365874578632
