dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman,repeat
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2011,2011,0.021263344753503555,0.13753890713219385,0.021299242394324392,0.1391049607310887,0.008551700301756874,0.023836478714878623,rep1
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,2011,2011,0.09578843421022865,0.3341583686358931,0.09612161869921743,0.33582228446794166,0.032351833875777995,0.05123816042994592,rep1
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,2011,2011,0.015056024404911827,0.17239016707368388,0.014040235153455871,0.1849336359844569,0.014886983852468538,0.07947020601716237,rep1
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,1998,1998,0.01212716987471596,0.09792078431085653,0.006697657044839533,0.11331869603600957,0.011180905525437235,0.0320259994720873,rep1
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2011,2011,0.006949494298584602,0.08356516291733024,0.006363253855496876,0.08583196320325479,0.006547730339469778,0.031279485500010286,rep1
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,ridge,715,715,0.10893230799862264,0.33138361940078875,0.10144958408546163,0.330770378542985,0.04691924536382575,0.07418244196160548,rep1
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,716,716,0.08784630326131848,0.27907337725976916,0.08291765856480289,0.28686280060919833,0.026502911170645696,0.06677626171354487,rep1
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,random_forest,715,715,0.019340935521243274,0.13010926405534215,0.013251375635172868,0.15130995764798583,0.05938745616197166,0.08562153855298898,rep1
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,ridge,715,715,-0.0030930197273264515,0.06994206913243878,-0.011165481675050182,0.10425352534536332,0.025656147227549563,0.0850864071685469,rep1
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,random_forest,716,716,0.04611575676392321,0.21246132083389513,0.03515768934856798,0.2198539698928237,0.07564387367146326,0.092926567169769,rep1
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2011,2011,0.00968616916649212,0.10888800812306196,0.007383514489174492,0.1203523555462815,0.008341513874283198,0.03131879673495501,rep2
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,2011,2011,0.10520019041643691,0.32552566882166656,0.10366214013907846,0.3290830601658857,0.04483175558778342,0.04364704985735626,rep2
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,2007,2007,0.02511771429845755,0.1731318365595492,0.023277284260512454,0.1794592680062285,0.0047385550463153745,0.010166833724649861,rep2
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,1986,1986,0.011845225040832852,0.08202335066890562,0.008342341203827552,0.08841271670798759,0.008097190120143972,0.0532075510665537,rep2
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2011,2011,0.011670519572630322,0.1139595409935438,0.009475937387422695,0.11486651486459927,0.009177411420041531,0.030754205616141696,rep2
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,ridge,715,715,0.11122206769760923,0.36881475945703396,0.10371838295217468,0.3662810668678627,0.020112568069271336,0.04557226337970635,rep2
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,716,716,0.06598429730272637,0.2892878353327494,0.06127547652677097,0.2883661517344412,0.031016310522003276,0.06402751546653956,rep2
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,random_forest,716,716,0.05626168714023261,0.1196627719976891,0.05232671818965171,0.12520345608738032,0.07495193549175859,0.1231195819257075,rep2
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,random_forest,715,715,0.019751221673305452,0.10780804615432348,0.016897441368303002,0.1152813619363486,0.07470450811533197,0.060783205082191684,rep2
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,gradient_boosting,716,716,0.04748153205905281,0.2438297656468124,0.039113036609412344,0.24643713256146477,0.10552205647356516,0.06842377351753727,rep2
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2010,2010,0.01185102454258291,0.12698625180749115,0.008144295086821551,0.1356677585782284,0.012125141404730292,0.05723835938440976,rep3
