feature_key,feature_label,mean_importance,sd_importance,n_folds,se_importance,feature_group
collection_size,Number of Papers,10.694276587727735,2.861822133861345,5,1.279845766165494,Collection Characteristics
empirical_share,Empirical Papers,6.971230812472546,1.28970994355841,5,0.5767758210108044,Paper Type
citation,Citation,4.055754652098248,1.7999065323125663,5,0.804942671879364,Journal Quality / Attention
recent,Publication Year,2.8999963046792137,1.2892541393249004,5,0.5765719791606924,Journal Quality / Attention
mathphysics_share,Math/Physics Journals,2.717958963660576,0.8229265386361061,5,0.36802393617578805,Journal Discipline
psychology_share,Psychology Journals,1.4089971502797993,0.5286329819640966,5,0.23641185656402805,Journal Discipline
journal_impact,Journal Impact Factor,1.3140578144797146,1.4319782317204073,5,0.6404001336853552,Journal Quality / Attention
multidisciplinary_share,Multidisciplinary Journals,0.5420061201417743,0.38920786613025654,5,0.17405904920897833,Journal Discipline
economics_share,Economics Journals,0.3987061065412702,0.5590721495015454,5,0.2500246661224761,Journal Discipline
biology_share,Biology Journals,0.2795544123208605,0.4390209812185012,5,0.1963361515106454,Journal Discipline
