model,source_id,n_aug_runs,n_baseline_runs,correlation,correlation_repeat_sd,correlation_repeat_se,baseline_correlation,baseline_repeat_sd,baseline_repeat_se,delta_correlation,delta_correlation_repeat_sd,delta_correlation_repeat_se
GPT-4.1,10.1002_(sici)1099-1727(199721)13_1_33__Aid-sd,5,5,0.5756521821022034,0.01871912747735657,0.00837144830377069,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.039012525915827524,0.02635187053802461,0.011784914771459397
GPT-4.1,10.1002_ajpa.1330770407,5,5,0.6450530409812927,0.030106883548961863,0.013464207641229768,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.10841338479491687,0.03187682730670421,0.014255750552962429
GPT-4.1,10.1002_bdm.1810,5,5,0.5538604378700256,0.015462205138864392,0.00691490835450947,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.017220781683649787,0.03933991006686673,0.017593342627648462
GPT-4.1,10.1002_bdm.1976,5,5,0.5982162833213807,0.048970860028959444,0.021900434388276126,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.061576627135004766,0.0771404386812903,0.03449825294110386
GPT-4.1,10.1002_bdm.2012,5,5,0.5802826046943664,0.03428887255619382,0.01533444998149527,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.04364294850799061,0.009594142713423985,0.004290631058610063
GPT-4.1,10.1002_bdm.2050,5,5,0.5595069289207458,0.030049442488375294,0.013438519217995517,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.022867272734370003,0.05396205209311679,0.02413256333711879
GPT-4.1,10.1002_bdm.2110,5,5,0.6025942802429199,0.04885752409996658,0.0218497490199719,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.06595462405654408,0.027768294655654818,0.012418358893857657
GPT-4.1,10.1002_bdm.2208,5,5,0.5857945799827575,0.043392117015814115,0.019405544666997135,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.04915492379638172,0.06066273179291378,0.02712919839795858
GPT-4.1,10.1002_bdm.2243,5,5,0.5897047877311706,0.026563591373913852,0.011879599207719681,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.05306513154479481,0.014459271435131111,0.0064663827668148205
GPT-4.1,10.1002_bdm.2273,5,5,0.6394970774650574,0.04139629603902554,0.018512986391993277,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.10285742127868151,0.036371155816423875,0.016265675365152128
GPT-4.1,10.1002_cplx.20244,5,5,0.5695052862167358,0.015145651398707854,0.006773341218205106,0.5366396561863759,0.03532932148071059,0.01579975288596248,0.03286563003035999,0.03870467640251482,0.01730925749663103
